name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone
Gelmanov Rustam,RUS,1,3t4 3b3,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014",850,2014,Baku,Boulder,Men,Semi-Final,2014-05-03,/api/v1/category_rounds/3000/results,/api/v1/events/850/result/3,2,1,1,1,1,1,X,X
Fischhuber Kilian,AUT,2,3t4 3b3,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014",850,2014,Baku,Boulder,Men,Semi-Final,2014-05-03,/api/v1/category_rounds/3000/results,/api/v1/events/850/result/3,2,1,1,1,1,1,X,X
Sharafutdinov Dmitrii,RUS,3,3t8 4b9,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014",850,2014,Baku,Boulder,Men,Semi-Final,2014-05-03,/api/v1/category_rounds/3000/results,/api/v1/events/850/result/3,3,3,1,1,4,4,X,1
Bonder Jeremy,FRA,4,3t9 3b8,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014",850,2014,Baku,Boulder,Men,Semi-Final,2014-05-03,/api/v1/category_rounds/3000/results,/api/v1/events/850/result/3,5,4,2,2,2,2,X,X
Hojer Jan,GER,5,3t11 3b10,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014",850,2014,Baku,Boulder,Men,Semi-Final,2014-05-03,/api/v1/category_rounds/3000/results,/api/v1/events/850/result/3,6,6,3,2,2,2,X,X
Fujii Kokoro,JPN,6,2t5 4b7,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014",850,2014,Baku,Boulder,Men,Semi-Final,2014-05-03,/api/v1/category_rounds/3000/results,/api/v1/events/850/result/3,X,2,3,1,2,2,X,2
Kassay James,AUS,7,2t9 2b5,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014",850,2014,Baku,Boulder,Men,Semi-Final,2014-05-03,/api/v1/category_rounds/3000/results,/api/v1/events/850/result/3,3,1,6,4,X,X,X,X
Huerta Mauricio,MEX,8,1t2 2b2,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014",850,2014,Baku,Boulder,Men,Semi-Final,2014-05-03,/api/v1/category_rounds/3000/results,/api/v1/events/850/result/3,2,1,X,X,X,1,X,X
Scarperi Stefan,ITA,9,1t2 1b1,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014",850,2014,Baku,Boulder,Men,Semi-Final,2014-05-03,/api/v1/category_rounds/3000/results,/api/v1/events/850/result/3,X,X,2,1,X,X,X,X
Yamauchi Makoto,JPN,10,1t3 3b12,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014",850,2014,Baku,Boulder,Men,Semi-Final,2014-05-03,/api/v1/category_rounds/3000/results,/api/v1/events/850/result/3,X,4,3,3,X,5,X,X
Levier Alban,FRA,11,1t3 3b15,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014",850,2014,Baku,Boulder,Men,Semi-Final,2014-05-03,/api/v1/category_rounds/3000/results,/api/v1/events/850/result/3,X,9,X,X,3,3,X,3
Takata Tomoaki,JPN,12,1t4 2b7,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014",850,2014,Baku,Boulder,Men,Semi-Final,2014-05-03,/api/v1/category_rounds/3000/results,/api/v1/events/850/result/3,4,1,X,6,X,X,X,X
de Leeuw Nicky,NED,13,1t5 3b10,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014",850,2014,Baku,Boulder,Men,Semi-Final,2014-05-03,/api/v1/category_rounds/3000/results,/api/v1/events/850/result/3,X,3,X,3,5,4,X,X
Verhoeven Jorg,NED,14,1t5 1b3,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014",850,2014,Baku,Boulder,Men,Semi-Final,2014-05-03,/api/v1/category_rounds/3000/results,/api/v1/events/850/result/3,5,3,X,X,X,X,X,X
Glairon Mondet Guillaume,FRA,15,1t6 4b10,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014",850,2014,Baku,Boulder,Men,Semi-Final,2014-05-03,/api/v1/category_rounds/3000/results,/api/v1/events/850/result/3,6,3,X,1,X,3,X,3
Kruder Jernej,SLO,16,0t 3b8,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014",850,2014,Baku,Boulder,Men,Semi-Final,2014-05-03,/api/v1/category_rounds/3000/results,/api/v1/events/850/result/3,X,4,X,2,X,2,X,X
Rugens Rolands,LVA,17,0t 2b4,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014",850,2014,Baku,Boulder,Men,Semi-Final,2014-05-03,/api/v1/category_rounds/3000/results,/api/v1/events/850/result/3,X,1,X,3,X,X,X,X
Baratzadeh Gholamali,IRI,18,0t 2b7,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014",850,2014,Baku,Boulder,Men,Semi-Final,2014-05-03,/api/v1/category_rounds/3000/results,/api/v1/events/850/result/3,X,4,X,3,X,X,X,X
Jubes Angarita Marco Antonio,ESP,19,0t 1b3,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014",850,2014,Baku,Boulder,Men,Semi-Final,2014-05-03,/api/v1/category_rounds/3000/results,/api/v1/events/850/result/3,X,X,X,3,X,X,X,X
Baumann Jonas,GER,20,0t 1b4,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014",850,2014,Baku,Boulder,Men,Semi-Final,2014-05-03,/api/v1/category_rounds/3000/results,/api/v1/events/850/result/3,X,4,X,X,X,X,X,X
