name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,Final_winner,Final_time,Small Final_winner,Small Final_time
Zhong QiXin,,1,6.03,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Speed,Men,Final,2014-06-20,/api/v1/category_rounds/3043/results,/api/v1/events/855/result/2,True,7.01,True,6.22,True,6.2,True,6.03,,
Dzienski Marcin,,2,6.45,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Speed,Men,Final,2014-06-20,/api/v1/category_rounds/3043/results,/api/v1/events/855/result/2,True,8.38,True,6.08,True,6.12,False,6.45,,
Boldyrev Danyil,,3,6.11,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Speed,Men,Final,2014-06-20,/api/v1/category_rounds/3043/results,/api/v1/events/855/result/2,True,6.47,True,6.75,False,6.66,,,True,6.11
Vaitsekhovskii Evgenii,,4,6.26,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Speed,Men,Final,2014-06-20,/api/v1/category_rounds/3043/results,/api/v1/events/855/result/2,True,6.662,True,6.27,False,6.26,,,False,6.26
ASPAR ASPAR,,5,6.54,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Speed,Men,Final,2014-06-20,/api/v1/category_rounds/3043/results,/api/v1/events/855/result/2,True,6.76,False,6.54,,,,,,
Kokorin Stanislav,,6,7.03,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Speed,Men,Final,2014-06-20,/api/v1/category_rounds/3043/results,/api/v1/events/855/result/2,True,6.62,False,7.03,,,,,,
Mawem Bassa,,7,7.32,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Speed,Men,Final,2014-06-20,/api/v1/category_rounds/3043/results,/api/v1/events/855/result/2,True,6.46,False,7.32,,,,,,
Hroza Libor,,8,7.82,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Speed,Men,Final,2014-06-20,/api/v1/category_rounds/3043/results,/api/v1/events/855/result/2,True,7.18,False,7.82,,,,,,
Shevchenko Arsenii,,9,6.49,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Speed,Men,Final,2014-06-20,/api/v1/category_rounds/3043/results,/api/v1/events/855/result/2,False,6.49,,,,,,,,
Timofeev Dmitrii,,10,6.669,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Speed,Men,Final,2014-06-20,/api/v1/category_rounds/3043/results,/api/v1/events/855/result/2,False,6.669,,,,,,,,
Fajri Ashari,,11,6.88,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Speed,Men,Final,2014-06-20,/api/v1/category_rounds/3043/results,/api/v1/events/855/result/2,False,6.88,,,,,,,,
Winoto Ardi,,12,7.28,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Speed,Men,Final,2014-06-20,/api/v1/category_rounds/3043/results,/api/v1/events/855/result/2,False,7.28,,,,,,,,
Sinitcyn Sergei,,13,7.82,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Speed,Men,Final,2014-06-20,/api/v1/category_rounds/3043/results,/api/v1/events/855/result/2,False,7.82,,,,,,,,
Chae Sungjoon,,14,8.02,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Speed,Men,Final,2014-06-20,/api/v1/category_rounds/3043/results,/api/v1/events/855/result/2,False,8.02,,,,,,,,
Vedenchuk Viacheslav,,15,9.45,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Speed,Men,Final,2014-06-20,/api/v1/category_rounds/3043/results,/api/v1/events/855/result/2,False,9.45,,,,,,,,
Kim Hyunjae,,16,12.29,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Speed,Men,Final,2014-06-20,/api/v1/category_rounds/3043/results,/api/v1/events/855/result/2,False,12.29,,,,,,,,
