name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,source_file
Alekseeva Kseniia,RUS,1,11.320,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010",615,2010,Chamonix,Speed,Women,Qualification,2010-07-12,/api/v1/category_rounds/1401/results,/api/v1/events/615/result/6,2010-07-12_Chamonix_Speed_Women_Qualification.csv
Levochkina  Yuliya,RUS,2,11.380,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010",615,2010,Chamonix,Speed,Women,Qualification,2010-07-12,/api/v1/category_rounds/1401/results,/api/v1/events/615/result/6,2010-07-12_Chamonix_Speed_Women_Qualification.csv
Ropek Edyta,POL,3,11.790,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010",615,2010,Chamonix,Speed,Women,Qualification,2010-07-12,/api/v1/category_rounds/1401/results,/api/v1/events/615/result/6,2010-07-12_Chamonix_Speed_Women_Qualification.csv
He CuiLian,CHN,4,12.610,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010",615,2010,Chamonix,Speed,Women,Qualification,2010-07-12,/api/v1/category_rounds/1401/results,/api/v1/events/615/result/6,2010-07-12_Chamonix_Speed_Women_Qualification.csv
Boyarskikh  Ekaterina,RUS,5,12.700,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010",615,2010,Chamonix,Speed,Women,Qualification,2010-07-12,/api/v1/category_rounds/1401/results,/api/v1/events/615/result/6,2010-07-12_Chamonix_Speed_Women_Qualification.csv
Gaidamakina Alina,RUS,6,12.950,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010",615,2010,Chamonix,Speed,Women,Qualification,2010-07-12,/api/v1/category_rounds/1401/results,/api/v1/events/615/result/6,2010-07-12_Chamonix_Speed_Women_Qualification.csv
PAN Xuhua,CHN,7,13.000,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010",615,2010,Chamonix,Speed,Women,Qualification,2010-07-12,/api/v1/category_rounds/1401/results,/api/v1/events/615/result/6,2010-07-12_Chamonix_Speed_Women_Qualification.csv
Polekhina Kseniya,RUS,8,13.270,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010",615,2010,Chamonix,Speed,Women,Qualification,2010-07-12,/api/v1/category_rounds/1401/results,/api/v1/events/615/result/6,2010-07-12_Chamonix_Speed_Women_Qualification.csv
Ryepko Olena,UKR,9,13.350,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010",615,2010,Chamonix,Speed,Women,Qualification,2010-07-12,/api/v1/category_rounds/1401/results,/api/v1/events/615/result/6,2010-07-12_Chamonix_Speed_Women_Qualification.csv
Evstigneeva Olga,RUS,10,13.500,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010",615,2010,Chamonix,Speed,Women,Qualification,2010-07-12,/api/v1/category_rounds/1401/results,/api/v1/events/615/result/6,2010-07-12_Chamonix_Speed_Women_Qualification.csv
Prokopiuk Monika,POL,11,13.640,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010",615,2010,Chamonix,Speed,Women,Qualification,2010-07-12,/api/v1/category_rounds/1401/results,/api/v1/events/615/result/6,2010-07-12_Chamonix_Speed_Women_Qualification.csv
Rudzinska Aleksandra,POL,12,13.660,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010",615,2010,Chamonix,Speed,Women,Qualification,2010-07-12,/api/v1/category_rounds/1401/results,/api/v1/events/615/result/6,2010-07-12_Chamonix_Speed_Women_Qualification.csv
Sheremetyeva Olena,UKR,13,13.670,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010",615,2010,Chamonix,Speed,Women,Qualification,2010-07-12,/api/v1/category_rounds/1401/results,/api/v1/events/615/result/6,2010-07-12_Chamonix_Speed_Women_Qualification.csv
Titova Natalia,RUS,14,13.750,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010",615,2010,Chamonix,Speed,Women,Qualification,2010-07-12,/api/v1/category_rounds/1401/results,/api/v1/events/615/result/6,2010-07-12_Chamonix_Speed_Women_Qualification.csv
Miroslaw Karina,POL,15,14.010,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010",615,2010,Chamonix,Speed,Women,Qualification,2010-07-12,/api/v1/category_rounds/1401/results,/api/v1/events/615/result/6,2010-07-12_Chamonix_Speed_Women_Qualification.csv
Savisko Anastasiya,UKR,16,14.090,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010",615,2010,Chamonix,Speed,Women,Qualification,2010-07-12,/api/v1/category_rounds/1401/results,/api/v1/events/615/result/6,2010-07-12_Chamonix_Speed_Women_Qualification.csv
