name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results
Rakhmetov Salavat,RUS,1,6t6 6b6,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,470,2007,Sofia,Boulder,Men,Qualification,2007-04-20,/api/v1/category_rounds/604/results,/api/v1/events/470/result/3
Sharafutdinov Dmitrii,RUS,2,6t7 6b6,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,470,2007,Sofia,Boulder,Men,Qualification,2007-04-20,/api/v1/category_rounds/604/results,/api/v1/events/470/result/3
Julien Stéphan,FRA,2,6t7 6b6,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,470,2007,Sofia,Boulder,Men,Qualification,2007-04-20,/api/v1/category_rounds/604/results,/api/v1/events/470/result/3
Meyer Jérôme,FRA,4,6t10 6b9,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,470,2007,Sofia,Boulder,Men,Qualification,2007-04-20,/api/v1/category_rounds/604/results,/api/v1/events/470/result/3
Fischhuber Kilian,AUT,5,6t11 6b7,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,470,2007,Sofia,Boulder,Men,Qualification,2007-04-20,/api/v1/category_rounds/604/results,/api/v1/events/470/result/3
Gelmanov Rustam,RUS,6,5t8 6b7,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,470,2007,Sofia,Boulder,Men,Qualification,2007-04-20,/api/v1/category_rounds/604/results,/api/v1/events/470/result/3
Pouvreau Gérome,FRA,7,5t9 6b6,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,470,2007,Sofia,Boulder,Men,Qualification,2007-04-20,/api/v1/category_rounds/604/results,/api/v1/events/470/result/3
Caminati Michele,ITA,8,5t9 6b7,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,470,2007,Sofia,Boulder,Men,Qualification,2007-04-20,/api/v1/category_rounds/604/results,/api/v1/events/470/result/3
Core Christian,ITA,9,5t10 6b9,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,470,2007,Sofia,Boulder,Men,Qualification,2007-04-20,/api/v1/category_rounds/604/results,/api/v1/events/470/result/3
Verhoeven Jorg,NED,10,5t11 6b7,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,470,2007,Sofia,Boulder,Men,Qualification,2007-04-20,/api/v1/category_rounds/604/results,/api/v1/events/470/result/3
Mrázek Tomás,CZE,11,5t11 6b10,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,470,2007,Sofia,Boulder,Men,Qualification,2007-04-20,/api/v1/category_rounds/604/results,/api/v1/events/470/result/3
