name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,Route_1
Bailey Sean,USA,1.0,163.2,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,3,2,5,4,X,X,4,4,42+
Lehmann Sascha,SUI,2.0,150.6,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,X,1,X,2,X,4,2,2,45+
Narasaki Tomoa,JPN,3.0,139.0,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,1,1,X,1,1,1,2,2,34+
Grupper Jesse,USA,4.0,128.9,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,1,1,X,1,X,X,X,X,42+
Schalck Mejdi,FRA,5.0,125.1,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,1,1,X,1,1,1,X,X,36+
Homma Taisei,JPN,6.0,124.4,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,1,1,X,6,X,X,1,1,36+
Jenft Paul,FRA,7.0,123.6,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,1,1,2,2,X,3,X,3,34+
Ogata Yoshiyuki,JPN,8.0,120.7,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,1,1,X,2,2,2,X,3,33+
YURIKUSA Ao,JPN,9.0,118.0,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,6,2,X,2,2,2,X,X,34+
Collin Nicolas,BEL,10.0,115.3,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,2,2,3,2,X,6,X,X,33+
Flohé Yannick,GER,10.0,115.3,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,4,4,X,2,X,X,4,3,33+
Duffy Colin,USA,12.0,114.4,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,1,1,X,1,X,5,X,3,36
Kawamata Rei,JPN,13.0,114.1,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,1,1,X,3,X,8,X,2,36+
YOSHIDA Satone,JPN,14.0,112.5,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,2,2,X,2,X,X,X,X,38+
