name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2
Mori Ai,JPN,1.0,1.41,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1242,2022,Koper,Lead,Women,Qualification,2022-09-02,/api/v1/category_rounds/6873/results,/api/v1/events/1242/result/5,TOP,47
Garnbret Janja,SLO,2.0,1.87,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1242,2022,Koper,Lead,Women,Qualification,2022-09-02,/api/v1/category_rounds/6873/results,/api/v1/events/1242/result/5,34,TOP
SEO Chaehyun,KOR,3.0,2.45,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1242,2022,Koper,Lead,Women,Qualification,2022-09-02,/api/v1/category_rounds/6873/results,/api/v1/events/1242/result/5,34+,41+
Hily Manon,FRA,4.0,4.47,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1242,2022,Koper,Lead,Women,Qualification,2022-09-02,/api/v1/category_rounds/6873/results,/api/v1/events/1242/result/5,33+,38+
Krampl Mia,SLO,5.0,5.45,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1242,2022,Koper,Lead,Women,Qualification,2022-09-02,/api/v1/category_rounds/6873/results,/api/v1/events/1242/result/5,34,36+
Pilz Jessica,AUT,6.0,6.32,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1242,2022,Koper,Lead,Women,Qualification,2022-09-02,/api/v1/category_rounds/6873/results,/api/v1/events/1242/result/5,32+,37+
Rakovec Lucka,SLO,7.0,8.25,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1242,2022,Koper,Lead,Women,Qualification,2022-09-02,/api/v1/category_rounds/6873/results,/api/v1/events/1242/result/5,32+,36+
Grossman Natalia,USA,8.0,9.89,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1242,2022,Koper,Lead,Women,Qualification,2022-09-02,/api/v1/category_rounds/6873/results,/api/v1/events/1242/result/5,32,36+
Thompson-Smith Molly,GBR,9.0,10.68,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1242,2022,Koper,Lead,Women,Qualification,2022-09-02,/api/v1/category_rounds/6873/results,/api/v1/events/1242/result/5,30,37
Raboutou Brooke,USA,10.0,10.91,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1242,2022,Koper,Lead,Women,Qualification,2022-09-02,/api/v1/category_rounds/6873/results,/api/v1/events/1242/result/5,31+,36+
Janicot Hélène,FRA,11.0,12.49,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1242,2022,Koper,Lead,Women,Qualification,2022-09-02,/api/v1/category_rounds/6873/results,/api/v1/events/1242/result/5,32+,26+
Rogora Laura,ITA,12.0,13.86,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1242,2022,Koper,Lead,Women,Qualification,2022-09-02,/api/v1/category_rounds/6873/results,/api/v1/events/1242/result/5,32+,25+
Tanii Natsuki,JPN,12.0,13.86,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1242,2022,Koper,Lead,Women,Qualification,2022-09-02,/api/v1/category_rounds/6873/results,/api/v1/events/1242/result/5,32+,25+
Adamovska Eliska,CZE,14.0,14.46,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1242,2022,Koper,Lead,Women,Qualification,2022-09-02,/api/v1/category_rounds/6873/results,/api/v1/events/1242/result/5,30,34+
van der Meer Lynn,NED,15.0,16.43,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1242,2022,Koper,Lead,Women,Qualification,2022-09-02,/api/v1/category_rounds/6873/results,/api/v1/events/1242/result/5,29+,32+
Lukan Vita,SLO,16.0,16.52,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1242,2022,Koper,Lead,Women,Qualification,2022-09-02,/api/v1/category_rounds/6873/results,/api/v1/events/1242/result/5,31+,26+
