name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,Final_winner,Final_time,Small Final_winner,Small Final_time
Stenkovaya Anna,,1,11.30,IFSC Climbing Worldcup (S) - Trento (ITA) 2009,562,2009,Trento,Speed,Women,Final,2009-04-25,/api/v1/category_rounds/1130/results,/api/v1/events/562/result/6,True,11.33,True,11.59,True,10.84,True,11.3,,
Ropek Edyta,,2,13.21,IFSC Climbing Worldcup (S) - Trento (ITA) 2009,562,2009,Trento,Speed,Women,Final,2009-04-25,/api/v1/category_rounds/1130/results,/api/v1/events/562/result/6,True,12.29,True,10.73,True,10.67,False,13.21,,
Li Chunhua,,3,10.92,IFSC Climbing Worldcup (S) - Trento (ITA) 2009,562,2009,Trento,Speed,Women,Final,2009-04-25,/api/v1/category_rounds/1130/results,/api/v1/events/562/result/6,True,12.78,True,11.92,False,11.15,,,True,10.92
He Cuifang,,4,12.12,IFSC Climbing Worldcup (S) - Trento (ITA) 2009,562,2009,Trento,Speed,Women,Final,2009-04-25,/api/v1/category_rounds/1130/results,/api/v1/events/562/result/6,True,12.37,True,10.99,False,10.73,,,False,12.12
He CuiLian,,5,11.05,IFSC Climbing Worldcup (S) - Trento (ITA) 2009,562,2009,Trento,Speed,Women,Final,2009-04-25,/api/v1/category_rounds/1130/results,/api/v1/events/562/result/6,True,11.71,False,11.05,,,,,,
Alekseeva Kseniia,,6,11.14,IFSC Climbing Worldcup (S) - Trento (ITA) 2009,562,2009,Trento,Speed,Women,Final,2009-04-25,/api/v1/category_rounds/1130/results,/api/v1/events/562/result/6,True,12.39,False,11.14,,,,,,
Blanco Lucelia,,7,12.47,IFSC Climbing Worldcup (S) - Trento (ITA) 2009,562,2009,Trento,Speed,Women,Final,2009-04-25,/api/v1/category_rounds/1130/results,/api/v1/events/562/result/6,True,13.32,False,12.47,,,,,,
Gaidamakina Alina,,8,14.74,IFSC Climbing Worldcup (S) - Trento (ITA) 2009,562,2009,Trento,Speed,Women,Final,2009-04-25,/api/v1/category_rounds/1130/results,/api/v1/events/562/result/6,True,13.51,False,14.74,,,,,,
Levochkina  Yuliya,,9,11.93,IFSC Climbing Worldcup (S) - Trento (ITA) 2009,562,2009,Trento,Speed,Women,Final,2009-04-25,/api/v1/category_rounds/1130/results,/api/v1/events/562/result/6,False,11.93,,,,,,,,
Tuzhylina Svitlana,,10,12.08,IFSC Climbing Worldcup (S) - Trento (ITA) 2009,562,2009,Trento,Speed,Women,Final,2009-04-25,/api/v1/category_rounds/1130/results,/api/v1/events/562/result/6,False,12.08,,,,,,,,
Yurina Valentina,,11,12.60,IFSC Climbing Worldcup (S) - Trento (ITA) 2009,562,2009,Trento,Speed,Women,Final,2009-04-25,/api/v1/category_rounds/1130/results,/api/v1/events/562/result/6,False,12.6,,,,,,,,
Savisko Anastasiya,,12,13.59,IFSC Climbing Worldcup (S) - Trento (ITA) 2009,562,2009,Trento,Speed,Women,Final,2009-04-25,/api/v1/category_rounds/1130/results,/api/v1/events/562/result/6,False,13.59,,,,,,,,
Ryepko Olena,,13,13.96,IFSC Climbing Worldcup (S) - Trento (ITA) 2009,562,2009,Trento,Speed,Women,Final,2009-04-25,/api/v1/category_rounds/1130/results,/api/v1/events/562/result/6,False,13.96,,,,,,,,
Prokopiuk-Kawecka Monika,,14,14.64,IFSC Climbing Worldcup (S) - Trento (ITA) 2009,562,2009,Trento,Speed,Women,Final,2009-04-25,/api/v1/category_rounds/1130/results,/api/v1/events/562/result/6,False,14.64,,,,,,,,
Boyarskikh  Ekaterina,,15,15.66,IFSC Climbing Worldcup (S) - Trento (ITA) 2009,562,2009,Trento,Speed,Women,Final,2009-04-25,/api/v1/category_rounds/1130/results,/api/v1/events/562/result/6,False,15.66,,,,,,,,
Morandi Jessica,,16,15.67,IFSC Climbing Worldcup (S) - Trento (ITA) 2009,562,2009,Trento,Speed,Women,Final,2009-04-25,/api/v1/category_rounds/1130/results,/api/v1/events/562/result/6,False,15.67,,,,,,,,
