name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,source_file
Robinson Paul,USA,1,4t5 4b4,IFSC Climbing Worldcup (B) - Vail (USA) 2009,565,2009,Vail,Boulder,Men,Semi-Final,2009-06-05,/api/v1/category_rounds/1149/results,/api/v1/events/565/result/3,1,1,1,1,2,1,1,1,2009-06-05_Vail_Boulder_Men_Semi-Final.csv
Owen Kyle,USA,2,4t6 4b6,IFSC Climbing Worldcup (B) - Vail (USA) 2009,565,2009,Vail,Boulder,Men,Semi-Final,2009-06-05,/api/v1/category_rounds/1149/results,/api/v1/events/565/result/3,1,1,2,2,1,1,2,2,2009-06-05_Vail_Boulder_Men_Semi-Final.csv
Woods Daniel,USA,3,4t9 4b6,IFSC Climbing Worldcup (B) - Vail (USA) 2009,565,2009,Vail,Boulder,Men,Semi-Final,2009-06-05,/api/v1/category_rounds/1149/results,/api/v1/events/565/result/3,2,2,2,2,4,1,1,1,2009-06-05_Vail_Boulder_Men_Semi-Final.csv
Baumann Jonas,GER,4,3t3 4b4,IFSC Climbing Worldcup (B) - Vail (USA) 2009,565,2009,Vail,Boulder,Men,Semi-Final,2009-06-05,/api/v1/category_rounds/1149/results,/api/v1/events/565/result/3,1,1,X,1,1,1,1,1,2009-06-05_Vail_Boulder_Men_Semi-Final.csv
Fischhuber Kilian,AUT,5,3t4 4b4,IFSC Climbing Worldcup (B) - Vail (USA) 2009,565,2009,Vail,Boulder,Men,Semi-Final,2009-06-05,/api/v1/category_rounds/1149/results,/api/v1/events/565/result/3,1,1,1,1,X,1,2,1,2009-06-05_Vail_Boulder_Men_Semi-Final.csv
Gelmanov Rustam,RUS,6,3t5 4b8,IFSC Climbing Worldcup (B) - Vail (USA) 2009,565,2009,Vail,Boulder,Men,Semi-Final,2009-06-05,/api/v1/category_rounds/1149/results,/api/v1/events/565/result/3,1,1,3,3,X,3,1,1,2009-06-05_Vail_Boulder_Men_Semi-Final.csv
Glairon Mondet Guillaume,FRA,7,2t2 4b6,IFSC Climbing Worldcup (B) - Vail (USA) 2009,565,2009,Vail,Boulder,Men,Semi-Final,2009-06-05,/api/v1/category_rounds/1149/results,/api/v1/events/565/result/3,1,1,X,3,X,1,1,1,2009-06-05_Vail_Boulder_Men_Semi-Final.csv
Hori Tsukuru,JPN,8,2t2 3b5,IFSC Climbing Worldcup (B) - Vail (USA) 2009,565,2009,Vail,Boulder,Men,Semi-Final,2009-06-05,/api/v1/category_rounds/1149/results,/api/v1/events/565/result/3,1,1,X,3,X,X,1,1,2009-06-05_Vail_Boulder_Men_Semi-Final.csv
Moroni Gabriele,ITA,9,2t4 4b6,IFSC Climbing Worldcup (B) - Vail (USA) 2009,565,2009,Vail,Boulder,Men,Semi-Final,2009-06-05,/api/v1/category_rounds/1149/results,/api/v1/events/565/result/3,1,1,3,3,X,1,X,1,2009-06-05_Vail_Boulder_Men_Semi-Final.csv
Gaidioz Loïc,FRA,10,1t1 4b8,IFSC Climbing Worldcup (B) - Vail (USA) 2009,565,2009,Vail,Boulder,Men,Semi-Final,2009-06-05,/api/v1/category_rounds/1149/results,/api/v1/events/565/result/3,1,1,X,3,X,1,X,3,2009-06-05_Vail_Boulder_Men_Semi-Final.csv
Preti Lucas,ITA,11,1t1 3b4,IFSC Climbing Worldcup (B) - Vail (USA) 2009,565,2009,Vail,Boulder,Men,Semi-Final,2009-06-05,/api/v1/category_rounds/1149/results,/api/v1/events/565/result/3,1,1,X,1,X,2,X,X,2009-06-05_Vail_Boulder_Men_Semi-Final.csv
Son Sangwon,KOR,12,1t2 2b2,IFSC Climbing Worldcup (B) - Vail (USA) 2009,565,2009,Vail,Boulder,Men,Semi-Final,2009-06-05,/api/v1/category_rounds/1149/results,/api/v1/events/565/result/3,2,1,X,X,X,1,X,X,2009-06-05_Vail_Boulder_Men_Semi-Final.csv
Traversi Carlo,USA,13,1t2 2b3,IFSC Climbing Worldcup (B) - Vail (USA) 2009,565,2009,Vail,Boulder,Men,Semi-Final,2009-06-05,/api/v1/category_rounds/1149/results,/api/v1/events/565/result/3,2,2,X,X,X,1,X,X,2009-06-05_Vail_Boulder_Men_Semi-Final.csv
Bautista Julian,USA,14,1t2 2b5,IFSC Climbing Worldcup (B) - Vail (USA) 2009,565,2009,Vail,Boulder,Men,Semi-Final,2009-06-05,/api/v1/category_rounds/1149/results,/api/v1/events/565/result/3,2,1,X,X,X,X,X,4,2009-06-05_Vail_Boulder_Men_Semi-Final.csv
Becan Klemen,SLO,15,1t2 1b1,IFSC Climbing Worldcup (B) - Vail (USA) 2009,565,2009,Vail,Boulder,Men,Semi-Final,2009-06-05,/api/v1/category_rounds/1149/results,/api/v1/events/565/result/3,2,1,X,X,X,X,X,X,2009-06-05_Vail_Boulder_Men_Semi-Final.csv
Hukkataival Nalle,FIN,16,1t4 2b5,IFSC Climbing Worldcup (B) - Vail (USA) 2009,565,2009,Vail,Boulder,Men,Semi-Final,2009-06-05,/api/v1/category_rounds/1149/results,/api/v1/events/565/result/3,4,4,X,X,X,1,X,X,2009-06-05_Vail_Boulder_Men_Semi-Final.csv
Julien Stéphan,FRA,17,1t4 1b3,IFSC Climbing Worldcup (B) - Vail (USA) 2009,565,2009,Vail,Boulder,Men,Semi-Final,2009-06-05,/api/v1/category_rounds/1149/results,/api/v1/events/565/result/3,4,3,X,X,X,X,X,X,2009-06-05_Vail_Boulder_Men_Semi-Final.csv
Difelice Andre,CAN,18,1t5 3b8,IFSC Climbing Worldcup (B) - Vail (USA) 2009,565,2009,Vail,Boulder,Men,Semi-Final,2009-06-05,/api/v1/category_rounds/1149/results,/api/v1/events/565/result/3,5,5,X,X,X,1,X,2,2009-06-05_Vail_Boulder_Men_Semi-Final.csv
Sommer Remo,SUI,19,0t 3b3,IFSC Climbing Worldcup (B) - Vail (USA) 2009,565,2009,Vail,Boulder,Men,Semi-Final,2009-06-05,/api/v1/category_rounds/1149/results,/api/v1/events/565/result/3,X,1,X,1,X,X,X,1,2009-06-05_Vail_Boulder_Men_Semi-Final.csv
Takeuchi Toshiaki,JPN,20,0t 2b2,IFSC Climbing Worldcup (B) - Vail (USA) 2009,565,2009,Vail,Boulder,Men,Semi-Final,2009-06-05,/api/v1/category_rounds/1149/results,/api/v1/events/565/result/3,X,X,X,X,X,1,X,1,2009-06-05_Vail_Boulder_Men_Semi-Final.csv
