name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2,source_file
Potocar Luka,SLO,1,2.65,IFSC - Climbing World Cup (L) - Briançon (FRA) 2021,1196,2021,Briançon,Lead,Men,Qualification,2021-07-17,/api/v1/category_rounds/6188/results,/api/v1/events/1196/result/1,33,30+,2021-07-17_Briançon_Lead_Men_Qualification.csv
Ghisolfi Stefano,ITA,2,3.0,IFSC - Climbing World Cup (L) - Briançon (FRA) 2021,1196,2021,Briançon,Lead,Men,Qualification,2021-07-17,/api/v1/category_rounds/6188/results,/api/v1/events/1196/result/1,32+,32+,2021-07-17_Briançon_Lead_Men_Qualification.csv
Skofic Domen,SLO,3,4.36,IFSC - Climbing World Cup (L) - Briançon (FRA) 2021,1196,2021,Briançon,Lead,Men,Qualification,2021-07-17,/api/v1/category_rounds/6188/results,/api/v1/events/1196/result/1,22+,34+,2021-07-17_Briançon_Lead_Men_Qualification.csv
Stranik Martin,CZE,4,5.66,IFSC - Climbing World Cup (L) - Briançon (FRA) 2021,1196,2021,Briançon,Lead,Men,Qualification,2021-07-17,/api/v1/category_rounds/6188/results,/api/v1/events/1196/result/1,29+,29,2021-07-17_Briançon_Lead_Men_Qualification.csv
Flohé Yannick,GER,5,6.48,IFSC - Climbing World Cup (L) - Briançon (FRA) 2021,1196,2021,Briançon,Lead,Men,Qualification,2021-07-17,/api/v1/category_rounds/6188/results,/api/v1/events/1196/result/1,29+,28+,2021-07-17_Briançon_Lead_Men_Qualification.csv
Ginés López Alberto,ESP,6,6.89,IFSC - Climbing World Cup (L) - Briançon (FRA) 2021,1196,2021,Briançon,Lead,Men,Qualification,2021-07-17,/api/v1/category_rounds/6188/results,/api/v1/events/1196/result/1,22+,33+,2021-07-17_Briançon_Lead_Men_Qualification.csv
Bailey Sean,USA,7,8.0,IFSC - Climbing World Cup (L) - Briançon (FRA) 2021,1196,2021,Briançon,Lead,Men,Qualification,2021-07-17,/api/v1/category_rounds/6188/results,/api/v1/events/1196/result/1,29+,27,2021-07-17_Briançon_Lead_Men_Qualification.csv
Lehmann Sascha,SUI,8,9.25,IFSC - Climbing World Cup (L) - Briançon (FRA) 2021,1196,2021,Briançon,Lead,Men,Qualification,2021-07-17,/api/v1/category_rounds/6188/results,/api/v1/events/1196/result/1,22+,32+,2021-07-17_Briançon_Lead_Men_Qualification.csv
McArthur Hamish,GBR,9,9.54,IFSC - Climbing World Cup (L) - Briançon (FRA) 2021,1196,2021,Briançon,Lead,Men,Qualification,2021-07-17,/api/v1/category_rounds/6188/results,/api/v1/events/1196/result/1,29,27+,2021-07-17_Briançon_Lead_Men_Qualification.csv
Samoilov Fedir,UKR,9,9.54,IFSC - Climbing World Cup (L) - Briançon (FRA) 2021,1196,2021,Briançon,Lead,Men,Qualification,2021-07-17,/api/v1/category_rounds/6188/results,/api/v1/events/1196/result/1,29,27+,2021-07-17_Briançon_Lead_Men_Qualification.csv
Fakirianov Dmitrii,RUS,11,11.51,IFSC - Climbing World Cup (L) - Briançon (FRA) 2021,1196,2021,Briançon,Lead,Men,Qualification,2021-07-17,/api/v1/category_rounds/6188/results,/api/v1/events/1196/result/1,15,33+,2021-07-17_Briançon_Lead_Men_Qualification.csv
Fulkerson Ross,USA,12,13.78,IFSC - Climbing World Cup (L) - Briançon (FRA) 2021,1196,2021,Briançon,Lead,Men,Qualification,2021-07-17,/api/v1/category_rounds/6188/results,/api/v1/events/1196/result/1,28,25+,2021-07-17_Briançon_Lead_Men_Qualification.csv
Higuchi Masahiro,JPN,12,13.78,IFSC - Climbing World Cup (L) - Briançon (FRA) 2021,1196,2021,Briançon,Lead,Men,Qualification,2021-07-17,/api/v1/category_rounds/6188/results,/api/v1/events/1196/result/1,28,25+,2021-07-17_Briançon_Lead_Men_Qualification.csv
Halenke Sebastian,GER,14,14.12,IFSC - Climbing World Cup (L) - Briançon (FRA) 2021,1196,2021,Briançon,Lead,Men,Qualification,2021-07-17,/api/v1/category_rounds/6188/results,/api/v1/events/1196/result/1,22+,28+,2021-07-17_Briançon_Lead_Men_Qualification.csv
