name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone,source_file
NONAKA Miho,JPN,1.0,5T5z 7 7,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1190,2021,Salt Lake City,Boulder,Women,Qualification,2021-05-21,/api/v1/category_rounds/6175/results,/api/v1/events/1190/result/7,2,2,1,1,2,2,1,1,1,1,2021-05-21_Salt Lake City_Boulder_Women_Qualification.csv
GROSSMAN Natalia,USA,2.0,4T5z 6 7,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1190,2021,Salt Lake City,Boulder,Women,Qualification,2021-05-21,/api/v1/category_rounds/6175/results,/api/v1/events/1190/result/7,1,1,1,1,X,1,1,1,3,3,2021-05-21_Salt Lake City_Boulder_Women_Qualification.csv
FÄRBER Johanna,AUT,3.0,4T5z 6 9,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1190,2021,Salt Lake City,Boulder,Women,Qualification,2021-05-21,/api/v1/category_rounds/6175/results,/api/v1/events/1190/result/7,2,2,1,1,X,3,1,1,2,2,2021-05-21_Salt Lake City_Boulder_Women_Qualification.csv
RABOUTOU Brooke,USA,4.0,4T5z 7 8,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1190,2021,Salt Lake City,Boulder,Women,Qualification,2021-05-21,/api/v1/category_rounds/6175/results,/api/v1/events/1190/result/7,2,2,1,1,X,1,1,1,3,3,2021-05-21_Salt Lake City_Boulder_Women_Qualification.csv
ITO Futaba,JPN,5.0,4T5z 8 9,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1190,2021,Salt Lake City,Boulder,Women,Qualification,2021-05-21,/api/v1/category_rounds/6175/results,/api/v1/events/1190/result/7,2,2,1,1,X,1,1,1,4,4,2021-05-21_Salt Lake City_Boulder_Women_Qualification.csv
DEBEVEC Katja,SLO,6.0,4T5z 10 10,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1190,2021,Salt Lake City,Boulder,Women,Qualification,2021-05-21,/api/v1/category_rounds/6175/results,/api/v1/events/1190/result/7,2,1,1,1,X,2,2,1,5,5,2021-05-21_Salt Lake City_Boulder_Women_Qualification.csv
KOPF Sienna,USA,7.0,4T4z 7 7,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1190,2021,Salt Lake City,Boulder,Women,Qualification,2021-05-21,/api/v1/category_rounds/6175/results,/api/v1/events/1190/result/7,1,1,2,2,X,X,1,1,3,3,2021-05-21_Salt Lake City_Boulder_Women_Qualification.csv
GEJO Stasa,SRB,8.0,3T5z 3 5,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1190,2021,Salt Lake City,Boulder,Women,Qualification,2021-05-21,/api/v1/category_rounds/6175/results,/api/v1/events/1190/result/7,1,1,1,1,X,1,X,1,1,1,2021-05-21_Salt Lake City_Boulder_Women_Qualification.csv
GIBERT Fanny,FRA,9.0,3T5z 5 8,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1190,2021,Salt Lake City,Boulder,Women,Qualification,2021-05-21,/api/v1/category_rounds/6175/results,/api/v1/events/1190/result/7,2,2,1,1,X,2,X,1,2,2,2021-05-21_Salt Lake City_Boulder_Women_Qualification.csv
LYNCH Megan,USA,10.0,3T5z 5 11,IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1190,2021,Salt Lake City,Boulder,Women,Qualification,2021-05-21,/api/v1/category_rounds/6175/results,/api/v1/events/1190/result/7,2,1,X,3,X,4,1,1,2,2,2021-05-21_Salt Lake City_Boulder_Women_Qualification.csv
