name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone,source_file
Mawem Mickael,FRA,1.0,4T5z 8 6,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Men,Qualification,2023-06-02,/api/v1/category_rounds/7681/results,/api/v1/events/1295/result/3,1,1,5,1,X,2,1,1,1,1,2023-06-02_Prague_Boulder_Men_Qualification.csv
KAYOTANI Ritsu,JPN,1.0,5T5z 12 7,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Men,Qualification,2023-06-02,/api/v1/category_rounds/7681/results,/api/v1/events/1295/result/3,1,1,6,3,1,1,1,1,3,1,2023-06-02_Prague_Boulder_Men_Qualification.csv
NARASAKI Tomoa,JPN,3.0,4T5z 11 7,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Men,Qualification,2023-06-02,/api/v1/category_rounds/7681/results,/api/v1/events/1295/result/3,1,1,4,1,5,3,1,1,X,1,2023-06-02_Prague_Boulder_Men_Qualification.csv
ANRAKU Sorato,JPN,3.0,4T5z 9 13,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Men,Qualification,2023-06-02,/api/v1/category_rounds/7681/results,/api/v1/events/1295/result/3,5,1,X,9,2,1,1,1,1,1,2023-06-02_Prague_Boulder_Men_Qualification.csv
LEE Dohyun,KOR,5.0,4T5z 10 6,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Men,Qualification,2023-06-02,/api/v1/category_rounds/7681/results,/api/v1/events/1295/result/3,1,1,5,2,X,1,3,1,1,1,2023-06-02_Prague_Boulder_Men_Qualification.csv
Roberts Toby,GBR,5.0,4T5z 14 17,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Men,Qualification,2023-06-02,/api/v1/category_rounds/7681/results,/api/v1/events/1295/result/3,1,1,X,7,8,7,4,1,1,1,2023-06-02_Prague_Boulder_Men_Qualification.csv
Schalck Mejdi,FRA,7.0,4T4z 16 6,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Men,Qualification,2023-06-02,/api/v1/category_rounds/7681/results,/api/v1/events/1295/result/3,3,1,5,3,7,1,1,1,X,X,2023-06-02_Prague_Boulder_Men_Qualification.csv
PAN YUFEI,CHN,7.0,4T5z 17 13,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Men,Qualification,2023-06-02,/api/v1/category_rounds/7681/results,/api/v1/events/1295/result/3,4,1,4,3,7,7,2,1,X,1,2023-06-02_Prague_Boulder_Men_Qualification.csv
CHON Jongwon,KOR,9.0,3T5z 6 10,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Men,Qualification,2023-06-02,/api/v1/category_rounds/7681/results,/api/v1/events/1295/result/3,1,1,X,5,X,1,2,1,3,2,2023-06-02_Prague_Boulder_Men_Qualification.csv
Ogata Yoshiyuki,JPN,9.0,3T5z 3 14,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Men,Qualification,2023-06-02,/api/v1/category_rounds/7681/results,/api/v1/events/1295/result/3,1,1,X,6,X,5,1,1,1,1,2023-06-02_Prague_Boulder_Men_Qualification.csv
