name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone,source_file
Lama David,AUT,1,5t5 5b5,IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,519,2008,Montauban,Boulder,Men,Qualification,2008-07-04,/api/v1/category_rounds/884/results,/api/v1/events/519/result/3,1,1,1,1,1,1,1,1,1,1,2008-07-04_Montauban_Boulder_Men_Qualification.csv
Moroni Gabriele,ITA,1,5t7 5b6,IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,519,2008,Montauban,Boulder,Men,Qualification,2008-07-04,/api/v1/category_rounds/884/results,/api/v1/events/519/result/3,1,1,1,1,3,2,1,1,1,1,2008-07-04_Montauban_Boulder_Men_Qualification.csv
Baumann Jonas,GER,2,5t7 5b7,IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,519,2008,Montauban,Boulder,Men,Qualification,2008-07-04,/api/v1/category_rounds/884/results,/api/v1/events/519/result/3,1,1,2,2,1,1,2,2,1,1,2008-07-04_Montauban_Boulder_Men_Qualification.csv
McColl Sean,CAN,2,5t6 5b6,IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,519,2008,Montauban,Boulder,Men,Qualification,2008-07-04,/api/v1/category_rounds/884/results,/api/v1/events/519/result/3,1,1,2,2,1,1,1,1,1,1,2008-07-04_Montauban_Boulder_Men_Qualification.csv
Laurence Ludovic,FRA,3,5t7 5b5,IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,519,2008,Montauban,Boulder,Men,Qualification,2008-07-04,/api/v1/category_rounds/884/results,/api/v1/events/519/result/3,1,1,3,1,1,1,1,1,1,1,2008-07-04_Montauban_Boulder_Men_Qualification.csv
Pouvreau Gérome,FRA,3,5t8 5b8,IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,519,2008,Montauban,Boulder,Men,Qualification,2008-07-04,/api/v1/category_rounds/884/results,/api/v1/events/519/result/3,1,1,1,1,3,3,2,2,1,1,2008-07-04_Montauban_Boulder_Men_Qualification.csv
Glairon Mondet Guillaume,FRA,4,5t7 5b6,IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,519,2008,Montauban,Boulder,Men,Qualification,2008-07-04,/api/v1/category_rounds/884/results,/api/v1/events/519/result/3,1,1,1,1,1,1,2,2,2,1,2008-07-04_Montauban_Boulder_Men_Qualification.csv
Rant Blaz,SLO,4,5t11 5b9,IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,519,2008,Montauban,Boulder,Men,Qualification,2008-07-04,/api/v1/category_rounds/884/results,/api/v1/events/519/result/3,1,1,2,1,4,4,3,2,1,1,2008-07-04_Montauban_Boulder_Men_Qualification.csv
Vandeputte Antoine,FRA,4,5t7 5b6,IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,519,2008,Montauban,Boulder,Men,Qualification,2008-07-04,/api/v1/category_rounds/884/results,/api/v1/events/519/result/3,1,1,2,1,2,2,1,1,1,1,2008-07-04_Montauban_Boulder_Men_Qualification.csv
Caminati Michele,ITA,5,4t7 5b9,IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,519,2008,Montauban,Boulder,Men,Qualification,2008-07-04,/api/v1/category_rounds/884/results,/api/v1/events/519/result/3,1,1,X,3,3,3,1,1,2,1,2008-07-04_Montauban_Boulder_Men_Qualification.csv
