name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,Final_winner,Final_time,Small Final_winner,Small Final_time
Kaplina Iuliia,,1,8.63,"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",939,2016,Chongqing,Speed,Women,Final,2016-04-30,/api/v1/category_rounds/3818/results,/api/v1/events/939/result/6,True,8.4,True,8.54,True,10.1,True,8.63,,
Buczek Klaudia,,2,10.16,"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",939,2016,Chongqing,Speed,Women,Final,2016-04-30,/api/v1/category_rounds/3818/results,/api/v1/events/939/result/6,True,9.12,True,8.35,True,8.45,False,10.16,,
Miroslaw Aleksandra,,3,10.38,"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",939,2016,Chongqing,Speed,Women,Final,2016-04-30,/api/v1/category_rounds/3818/results,/api/v1/events/939/result/6,True,8.49,True,8.24,False,FALL,,,True,10.38
Ita Triana Purnamasari,,4,10.41,"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",939,2016,Chongqing,Speed,Women,Final,2016-04-30,/api/v1/category_rounds/3818/results,/api/v1/events/939/result/6,True,9.52,True,8.81,False,10.17,,,False,10.41
Jaubert Anouck,,5,8.31,"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",939,2016,Chongqing,Speed,Women,Final,2016-04-30,/api/v1/category_rounds/3818/results,/api/v1/events/939/result/6,True,9.07,False,8.31,,,,,,
Ropek Edyta,,6,9.19,"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",939,2016,Chongqing,Speed,Women,Final,2016-04-30,/api/v1/category_rounds/3818/results,/api/v1/events/939/result/6,True,9.26,False,9.19,,,,,,
Marenych Alla,,7,9.38,"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",939,2016,Chongqing,Speed,Women,Final,2016-04-30,/api/v1/category_rounds/3818/results,/api/v1/events/939/result/6,True,9.15,False,9.38,,,,,,
Tsyganova Anna,,8,9.68,"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",939,2016,Chongqing,Speed,Women,Final,2016-04-30,/api/v1/category_rounds/3818/results,/api/v1/events/939/result/6,True,8.9,False,9.68,,,,,,
Sarisson Aurelia,,9,8.82,"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",939,2016,Chongqing,Speed,Women,Final,2016-04-30,/api/v1/category_rounds/3818/results,/api/v1/events/939/result/6,False,8.82,,,,,,,,
Lach Nina,,10,9.28,"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",939,2016,Chongqing,Speed,Women,Final,2016-04-30,/api/v1/category_rounds/3818/results,/api/v1/events/939/result/6,False,9.28,,,,,,,,
Pichler Stefanie,,11,9.72,"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",939,2016,Chongqing,Speed,Women,Final,2016-04-30,/api/v1/category_rounds/3818/results,/api/v1/events/939/result/6,False,9.72,,,,,,,,
Dhorifatus Syafiiyah,,12,9.90,"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",939,2016,Chongqing,Speed,Women,Final,2016-04-30,/api/v1/category_rounds/3818/results,/api/v1/events/939/result/6,False,9.9,,,,,,,,
Elmer Alexandra,,13,9.92,"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",939,2016,Chongqing,Speed,Women,Final,2016-04-30,/api/v1/category_rounds/3818/results,/api/v1/events/939/result/6,False,9.92,,,,,,,,
Brozek Anna,,14,9.95,"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",939,2016,Chongqing,Speed,Women,Final,2016-04-30,/api/v1/category_rounds/3818/results,/api/v1/events/939/result/6,False,9.95,,,,,,,,
He CuiLian,,15,10.13,"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",939,2016,Chongqing,Speed,Women,Final,2016-04-30,/api/v1/category_rounds/3818/results,/api/v1/events/939/result/6,False,10.13,,,,,,,,
TIAN PeiYang,,16,14.05,"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",939,2016,Chongqing,Speed,Women,Final,2016-04-30,/api/v1/category_rounds/3818/results,/api/v1/events/939/result/6,False,14.05,,,,,,,,
