name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone,source_file
McColl Sean,CAN,1,3t4 4b5,IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,938,2016,Kazo,Boulder,Men,Qualification,2016-04-23,/api/v1/category_rounds/3811/results,/api/v1/events/938/result/3,1,1,X,X,1,1,X,2,2,1,2016-04-23_Kazo_Boulder_Men_Qualification.csv
Narasaki Tomoa,JPN,1,4t6 4b4,IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,938,2016,Kazo,Boulder,Men,Qualification,2016-04-23,/api/v1/category_rounds/3811/results,/api/v1/events/938/result/3,1,1,1,1,X,X,1,1,3,1,2016-04-23_Kazo_Boulder_Men_Qualification.csv
Gelmanov Rustam,RUS,2,3t6 3b4,IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,938,2016,Kazo,Boulder,Men,Qualification,2016-04-23,/api/v1/category_rounds/3811/results,/api/v1/events/938/result/3,1,1,X,X,3,2,X,X,2,1,2016-04-23_Kazo_Boulder_Men_Qualification.csv
Levier Alban,FRA,2,4t7 5b8,IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,938,2016,Kazo,Boulder,Men,Qualification,2016-04-23,/api/v1/category_rounds/3811/results,/api/v1/events/938/result/3,2,2,3,1,X,3,1,1,1,1,2016-04-23_Kazo_Boulder_Men_Qualification.csv
Hojer Jan,GER,3,4t8 4b8,IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,938,2016,Kazo,Boulder,Men,Qualification,2016-04-23,/api/v1/category_rounds/3811/results,/api/v1/events/938/result/3,1,1,1,1,X,X,2,2,4,4,2016-04-23_Kazo_Boulder_Men_Qualification.csv
Rubtsov  Aleksei,RUS,3,3t7 4b7,IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,938,2016,Kazo,Boulder,Men,Qualification,2016-04-23,/api/v1/category_rounds/3811/results,/api/v1/events/938/result/3,1,1,X,X,X,1,5,4,1,1,2016-04-23_Kazo_Boulder_Men_Qualification.csv
Fujii Kokoro,JPN,4,4t9 5b8,IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,938,2016,Kazo,Boulder,Men,Qualification,2016-04-23,/api/v1/category_rounds/3811/results,/api/v1/events/938/result/3,1,1,X,2,3,3,3,1,2,1,2016-04-23_Kazo_Boulder_Men_Qualification.csv
Takata Tomoaki,JPN,4,3t11 5b15,IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,938,2016,Kazo,Boulder,Men,Qualification,2016-04-23,/api/v1/category_rounds/3811/results,/api/v1/events/938/result/3,1,1,X,2,5,2,X,8,5,2,2016-04-23_Kazo_Boulder_Men_Qualification.csv
Bonder Jeremy,FRA,5,4t11 5b14,IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,938,2016,Kazo,Boulder,Men,Qualification,2016-04-23,/api/v1/category_rounds/3811/results,/api/v1/events/938/result/3,1,1,6,6,X,4,3,2,1,1,2016-04-23_Kazo_Boulder_Men_Qualification.csv
Ogata Yoshiyuki,JPN,5,2t2 4b6,IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,938,2016,Kazo,Boulder,Men,Qualification,2016-04-23,/api/v1/category_rounds/3811/results,/api/v1/events/938/result/3,1,1,X,X,X,2,X,2,1,1,2016-04-23_Kazo_Boulder_Men_Qualification.csv
