name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,Final_winner,Final_time,Small Final_winner,Small Final_time,source_file
Timofeev Dmitrii,,1,WILDCARD,"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",939,2016,Chongqing,Speed,Men,Final,2016-04-30,/api/v1/category_rounds/3823/results,/api/v1/events/939/result/2,True,6.44,True,6.3,True,5.95,True,WILDCARD,,,2016-04-30_Chongqing_Speed_Men_Final.csv
Hroza Libor,,2,FALSE START,"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",939,2016,Chongqing,Speed,Men,Final,2016-04-30,/api/v1/category_rounds/3823/results,/api/v1/events/939/result/2,True,6.29,True,5.83,True,5.83,False,FALSE START,,,2016-04-30_Chongqing_Speed_Men_Final.csv
Boldyrev Danyil,,3,5.87,"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",939,2016,Chongqing,Speed,Men,Final,2016-04-30,/api/v1/category_rounds/3823/results,/api/v1/events/939/result/2,True,WILDCARD,True,5.96,False,5.94,,,True,5.87,2016-04-30_Chongqing_Speed_Men_Final.csv
Dzienski Marcin,,4,7.56,"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",939,2016,Chongqing,Speed,Men,Final,2016-04-30,/api/v1/category_rounds/3823/results,/api/v1/events/939/result/2,True,6.34,True,6.04,False,5.97,,,False,7.56,2016-04-30_Chongqing_Speed_Men_Final.csv
Vaitsekhovskii Evgenii,,5,6.81,"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",939,2016,Chongqing,Speed,Men,Final,2016-04-30,/api/v1/category_rounds/3823/results,/api/v1/events/939/result/2,True,6.53,False,6.81,,,,,,,2016-04-30_Chongqing_Speed_Men_Final.csv
Mawem Bassa,,6,7.30,"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",939,2016,Chongqing,Speed,Men,Final,2016-04-30,/api/v1/category_rounds/3823/results,/api/v1/events/939/result/2,True,6.01,False,7.3,,,,,,,2016-04-30_Chongqing_Speed_Men_Final.csv
Alipour Shenazandifard Reza,,7,FALL,"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",939,2016,Chongqing,Speed,Men,Final,2016-04-30,/api/v1/category_rounds/3823/results,/api/v1/events/939/result/2,True,6.23,False,FALL,,,,,,,2016-04-30_Chongqing_Speed_Men_Final.csv
Kokorin Stanislav,,8,FALL,"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",939,2016,Chongqing,Speed,Men,Final,2016-04-30,/api/v1/category_rounds/3823/results,/api/v1/events/939/result/2,True,6.24,False,FALL,,,,,,,2016-04-30_Chongqing_Speed_Men_Final.csv
Abudzar Yulianto,,9,6.59,"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",939,2016,Chongqing,Speed,Men,Final,2016-04-30,/api/v1/category_rounds/3823/results,/api/v1/events/939/result/2,False,6.59,,,,,,,,,2016-04-30_Chongqing_Speed_Men_Final.csv
Rindi Sufriyanto,,10,6.65,"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",939,2016,Chongqing,Speed,Men,Final,2016-04-30,/api/v1/category_rounds/3823/results,/api/v1/events/939/result/2,False,6.65,,,,,,,,,2016-04-30_Chongqing_Speed_Men_Final.csv
Santoni Alessandro,,11,6.66,"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",939,2016,Chongqing,Speed,Men,Final,2016-04-30,/api/v1/category_rounds/3823/results,/api/v1/events/939/result/2,False,6.66,,,,,,,,,2016-04-30_Chongqing_Speed_Men_Final.csv
Shilov Aleksandr,,12,7.45,"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",939,2016,Chongqing,Speed,Men,Final,2016-04-30,/api/v1/category_rounds/3823/results,/api/v1/events/939/result/2,False,7.45,,,,,,,,,2016-04-30_Chongqing_Speed_Men_Final.csv
Gontero Leonardo,,13,7.73,"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",939,2016,Chongqing,Speed,Men,Final,2016-04-30,/api/v1/category_rounds/3823/results,/api/v1/events/939/result/2,False,7.73,,,,,,,,,2016-04-30_Chongqing_Speed_Men_Final.csv
Ou ZhiYong,,14,8.55,"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",939,2016,Chongqing,Speed,Men,Final,2016-04-30,/api/v1/category_rounds/3823/results,/api/v1/events/939/result/2,False,8.55,,,,,,,,,2016-04-30_Chongqing_Speed_Men_Final.csv
Toozandehjani Hamidreza,,15,9.74,"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",939,2016,Chongqing,Speed,Men,Final,2016-04-30,/api/v1/category_rounds/3823/results,/api/v1/events/939/result/2,False,9.74,,,,,,,,,2016-04-30_Chongqing_Speed_Men_Final.csv
Shikov Aleksandr,,16,FALSE START,"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",939,2016,Chongqing,Speed,Men,Final,2016-04-30,/api/v1/category_rounds/3823/results,/api/v1/events/939/result/2,False,FALSE START,,,,,,,,,2016-04-30_Chongqing_Speed_Men_Final.csv
