name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone,source_file
Levier Alban,FRA,1,5t5 5b5,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Men,Qualification,2016-09-14,/api/v1/category_rounds/3905/results,/api/v1/events/950/result/3,1,1,1,1,1,1,1,1,1,1,2016-09-14_Paris_Boulder_Men_Qualification.csv
Narasaki Tomoa,JPN,1,5t9 5b9,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Men,Qualification,2016-09-14,/api/v1/category_rounds/3905/results,/api/v1/events/950/result/3,1,1,3,3,1,1,1,1,3,3,2016-09-14_Paris_Boulder_Men_Qualification.csv
Chon Jongwon,KOR,2,5t11 5b9,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Men,Qualification,2016-09-14,/api/v1/category_rounds/3905/results,/api/v1/events/950/result/3,1,1,2,2,1,1,3,1,4,4,2016-09-14_Paris_Boulder_Men_Qualification.csv
Fujii Kokoro,JPN,2,5t7 5b6,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Men,Qualification,2016-09-14,/api/v1/category_rounds/3905/results,/api/v1/events/950/result/3,2,2,2,1,1,1,1,1,1,1,2016-09-14_Paris_Boulder_Men_Qualification.csv
Gelmanov Rustam,RUS,2,5t11 5b9,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Men,Qualification,2016-09-14,/api/v1/category_rounds/3905/results,/api/v1/events/950/result/3,3,3,3,3,1,1,1,1,3,1,2016-09-14_Paris_Boulder_Men_Qualification.csv
Rubtsov  Aleksei,RUS,3,5t20 5b12,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Men,Qualification,2016-09-14,/api/v1/category_rounds/3905/results,/api/v1/events/950/result/3,1,1,5,1,3,2,5,2,6,6,2016-09-14_Paris_Boulder_Men_Qualification.csv
Bonder Jeremy,FRA,4,5t11 5b10,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Men,Qualification,2016-09-14,/api/v1/category_rounds/3905/results,/api/v1/events/950/result/3,3,3,4,4,1,1,1,1,2,1,2016-09-14_Paris_Boulder_Men_Qualification.csv
Ondra Adam,CZE,4,4t4 5b5,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Men,Qualification,2016-09-14,/api/v1/category_rounds/3905/results,/api/v1/events/950/result/3,1,1,X,1,1,1,1,1,1,1,2016-09-14_Paris_Boulder_Men_Qualification.csv
Mawem Mickael,FRA,5,4t6 5b7,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Men,Qualification,2016-09-14,/api/v1/category_rounds/3905/results,/api/v1/events/950/result/3,1,1,X,1,1,1,3,3,1,1,2016-09-14_Paris_Boulder_Men_Qualification.csv
Phillips Nathan,GBR,5,4t6 4b5,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Men,Qualification,2016-09-14,/api/v1/category_rounds/3905/results,/api/v1/events/950/result/3,1,1,1,1,1,1,3,2,X,X,2016-09-14_Paris_Boulder_Men_Qualification.csv
Cornu Manuel,FRA,6,4t8 5b7,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Men,Qualification,2016-09-14,/api/v1/category_rounds/3905/results,/api/v1/events/950/result/3,1,1,1,1,X,1,1,1,5,3,2016-09-14_Paris_Boulder_Men_Qualification.csv
