name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,Final_winner,Final_time,Small Final_winner,Small Final_time,source_file
Dzienski Marcin,,1,5.99,"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",945,2016,Villars,Speed,Men,Final,2016-07-15,/api/v1/category_rounds/3865/results,/api/v1/events/945/result/2,True,6.15,True,6.0,True,6.1,True,5.99,,,2016-07-15_Villars_Speed_Men_Final.csv
Boldyrev Danyil,,2,8.51,"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",945,2016,Villars,Speed,Men,Final,2016-07-15,/api/v1/category_rounds/3865/results,/api/v1/events/945/result/2,True,6.82,True,6.23,True,6.12,False,8.51,,,2016-07-15_Villars_Speed_Men_Final.csv
Kokorin Stanislav,,3,WILDCARD,"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",945,2016,Villars,Speed,Men,Final,2016-07-15,/api/v1/category_rounds/3865/results,/api/v1/events/945/result/2,True,6.41,True,6.11,False,9.2,,,True,WILDCARD,2016-07-15_Villars_Speed_Men_Final.csv
Timofeev Dmitrii,,4,FALSE START,"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",945,2016,Villars,Speed,Men,Final,2016-07-15,/api/v1/category_rounds/3865/results,/api/v1/events/945/result/2,True,6.27,True,6.09,False,6.77,,,False,FALSE START,2016-07-15_Villars_Speed_Men_Final.csv
Mawem Bassa,,5,6.12,"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",945,2016,Villars,Speed,Men,Final,2016-07-15,/api/v1/category_rounds/3865/results,/api/v1/events/945/result/2,True,6.24,False,6.12,,,,,,,2016-07-15_Villars_Speed_Men_Final.csv
Moro Guillaume,,6,6.24,"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",945,2016,Villars,Speed,Men,Final,2016-07-15,/api/v1/category_rounds/3865/results,/api/v1/events/945/result/2,True,WILDCARD,False,6.24,,,,,,,2016-07-15_Villars_Speed_Men_Final.csv
Shevchenko Arsenii,,7,6.42,"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",945,2016,Villars,Speed,Men,Final,2016-07-15,/api/v1/category_rounds/3865/results,/api/v1/events/945/result/2,True,6.44,False,6.42,,,,,,,2016-07-15_Villars_Speed_Men_Final.csv
Alipour Shenazandifard Reza,,8,FALL,"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",945,2016,Villars,Speed,Men,Final,2016-07-15,/api/v1/category_rounds/3865/results,/api/v1/events/945/result/2,True,6.41,False,FALL,,,,,,,2016-07-15_Villars_Speed_Men_Final.csv
Nambot Quentin,,9,6.47,"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",945,2016,Villars,Speed,Men,Final,2016-07-15,/api/v1/category_rounds/3865/results,/api/v1/events/945/result/2,False,6.47,,,,,,,,,2016-07-15_Villars_Speed_Men_Final.csv
Pavlenko Kostiantyn,,10,6.47,"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",945,2016,Villars,Speed,Men,Final,2016-07-15,/api/v1/category_rounds/3865/results,/api/v1/events/945/result/2,False,6.47,,,,,,,,,2016-07-15_Villars_Speed_Men_Final.csv
Hroza Libor,,11,6.50,"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",945,2016,Villars,Speed,Men,Final,2016-07-15,/api/v1/category_rounds/3865/results,/api/v1/events/945/result/2,False,6.5,,,,,,,,,2016-07-15_Villars_Speed_Men_Final.csv
Deulin Vladislav,,12,6.64,"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",945,2016,Villars,Speed,Men,Final,2016-07-15,/api/v1/category_rounds/3865/results,/api/v1/events/945/result/2,False,6.64,,,,,,,,,2016-07-15_Villars_Speed_Men_Final.csv
Gontero Leonardo,,13,7.65,"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",945,2016,Villars,Speed,Men,Final,2016-07-15,/api/v1/category_rounds/3865/results,/api/v1/events/945/result/2,False,7.65,,,,,,,,,2016-07-15_Villars_Speed_Men_Final.csv
Artamonov  Georgy,,14,9.03,"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",945,2016,Villars,Speed,Men,Final,2016-07-15,/api/v1/category_rounds/3865/results,/api/v1/events/945/result/2,False,9.03,,,,,,,,,2016-07-15_Villars_Speed_Men_Final.csv
Bogomolov Arsenii,,15,9.81,"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",945,2016,Villars,Speed,Men,Final,2016-07-15,/api/v1/category_rounds/3865/results,/api/v1/events/945/result/2,False,9.81,,,,,,,,,2016-07-15_Villars_Speed_Men_Final.csv
Shilov Aleksandr,,16,FALSE START,"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",945,2016,Villars,Speed,Men,Final,2016-07-15,/api/v1/category_rounds/3865/results,/api/v1/events/945/result/2,False,FALSE START,,,,,,,,,2016-07-15_Villars_Speed_Men_Final.csv
