name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone,source_file
Noguchi Akiyo,JPN,1,5t6 5b6,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,1,1,1,1,1,1,1,1,2,2,2016-09-14_Paris_Boulder_Women_Qualification.csv
Nonaka Miho,JPN,1,4t5 5b6,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,1,1,1,1,1,1,X,1,2,2,2016-09-14_Paris_Boulder_Women_Qualification.csv
Gejo Stasa,SRB,2,5t7 5b6,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,1,1,2,2,1,1,1,1,2,1,2016-09-14_Paris_Boulder_Women_Qualification.csv
Saurwein Katharina,AUT,2,4t5 5b8,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,1,1,1,1,1,1,2,2,X,3,2016-09-14_Paris_Boulder_Women_Qualification.csv
Kaiser Clementine,FRA,3,4t6 5b7,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,1,1,1,1,1,1,X,1,3,3,2016-09-14_Paris_Boulder_Women_Qualification.csv
Le Neve Melissa,FRA,3,5t7 5b7,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,1,1,1,1,3,3,1,1,1,1,2016-09-14_Paris_Boulder_Women_Qualification.csv
Mascarenas Megan,USA,4,3t3 5b11,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,1,1,1,1,1,1,X,4,X,4,2016-09-14_Paris_Boulder_Women_Qualification.csv
Stöhr Anna,AUT,4,5t8 5b8,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,1,1,1,1,1,1,1,1,4,4,2016-09-14_Paris_Boulder_Women_Qualification.csv
Klingler Petra,SUI,5,4t4 4b4,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,1,1,1,1,1,1,1,1,X,X,2016-09-14_Paris_Boulder_Women_Qualification.csv
Retschy Monika,GER,5,3t3 3b3,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,1,1,1,1,1,1,X,X,X,X,2016-09-14_Paris_Boulder_Women_Qualification.csv
Midtboe Hannah,NOR,6,3t5 4b11,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,1,1,3,3,1,1,X,X,X,6,2016-09-14_Paris_Boulder_Women_Qualification.csv
