name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,Final_winner,Final_time,Small Final_winner,Small Final_time,source_file
Shikov Aleksandr,,1,6.32,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Men,Final,2017-10-07,/api/v1/category_rounds/4344/results,/api/v1/events/995/result/2,True,6.12,True,6.29,False,-,True,6.32,,,2017-10-07_Wujiang_Speed_Men_Final.csv
ASPAR ASPAR,,2,6.33,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Men,Final,2017-10-07,/api/v1/category_rounds/4344/results,/api/v1/events/995/result/2,True,6.36,True,6.09,True,5.84,False,6.33,,,2017-10-07_Wujiang_Speed_Men_Final.csv
Rindi Sufriyanto,,3,WILDCARD,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Men,Final,2017-10-07,/api/v1/category_rounds/4344/results,/api/v1/events/995/result/2,True,6.24,True,6.23,False,99.0,,,True,WILDCARD,2017-10-07_Wujiang_Speed_Men_Final.csv
Sabri Sabri,,4,FALSE START,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Men,Final,2017-10-07,/api/v1/category_rounds/4344/results,/api/v1/events/995/result/2,True,6.26,True,6.08,False,5.99,,,False,FALSE START,2017-10-07_Wujiang_Speed_Men_Final.csv
Timofeev Dmitrii,,5,6.15,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Men,Final,2017-10-07,/api/v1/category_rounds/4344/results,/api/v1/events/995/result/2,True,6.32,False,6.15,,,,,,,2017-10-07_Wujiang_Speed_Men_Final.csv
Zhong QiXin,,6,7.35,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Men,Final,2017-10-07,/api/v1/category_rounds/4344/results,/api/v1/events/995/result/2,True,6.04,False,7.35,,,,,,,2017-10-07_Wujiang_Speed_Men_Final.csv
Shilov Aleksandr,,7,8.14,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Men,Final,2017-10-07,/api/v1/category_rounds/4344/results,/api/v1/events/995/result/2,True,6.43,False,8.14,,,,,,,2017-10-07_Wujiang_Speed_Men_Final.csv
Deulin Vladislav,,8,FALL,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Men,Final,2017-10-07,/api/v1/category_rounds/4344/results,/api/v1/events/995/result/2,True,6.09,False,FALL,,,,,,,2017-10-07_Wujiang_Speed_Men_Final.csv
Fossali Ludovico,,9,6.13,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Men,Final,2017-10-07,/api/v1/category_rounds/4344/results,/api/v1/events/995/result/2,False,6.13,,,,,,,,,2017-10-07_Wujiang_Speed_Men_Final.csv
Pavlenko Kostiantyn,,10,6.28,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Men,Final,2017-10-07,/api/v1/category_rounds/4344/results,/api/v1/events/995/result/2,False,6.28,,,,,,,,,2017-10-07_Wujiang_Speed_Men_Final.csv
Dzienski Marcin,,11,6.33,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Men,Final,2017-10-07,/api/v1/category_rounds/4344/results,/api/v1/events/995/result/2,False,6.33,,,,,,,,,2017-10-07_Wujiang_Speed_Men_Final.csv
Kokorin Stanislav,,12,6.38,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Men,Final,2017-10-07,/api/v1/category_rounds/4344/results,/api/v1/events/995/result/2,False,6.38,,,,,,,,,2017-10-07_Wujiang_Speed_Men_Final.csv
Gontero Leonardo,,13,6.53,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Men,Final,2017-10-07,/api/v1/category_rounds/4344/results,/api/v1/events/995/result/2,False,6.53,,,,,,,,,2017-10-07_Wujiang_Speed_Men_Final.csv
Ou ZhiYong,,14,6.53,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Men,Final,2017-10-07,/api/v1/category_rounds/4344/results,/api/v1/events/995/result/2,False,6.53,,,,,,,,,2017-10-07_Wujiang_Speed_Men_Final.csv
Septo Wibowo Siburian Pangeran,,15,7.03,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Men,Final,2017-10-07,/api/v1/category_rounds/4344/results,/api/v1/events/995/result/2,False,7.03,,,,,,,,,2017-10-07_Wujiang_Speed_Men_Final.csv
Li JinXin,,16,7.62,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Men,Final,2017-10-07,/api/v1/category_rounds/4344/results,/api/v1/events/995/result/2,False,7.62,,,,,,,,,2017-10-07_Wujiang_Speed_Men_Final.csv
