name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,Final_winner,Final_time,Small Final_winner,Small Final_time,source_file
Jaubert Anouck,,1,8.22,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",991,2017,Villars,Speed,Women,Final,2017-07-07,/api/v1/category_rounds/4303/results,/api/v1/events/991/result/6,True,8.0,True,7.86,True,7.78,True,8.22,,,2017-07-07_Villars_Speed_Women_Final.csv
Kaplina Iuliia,,2,8.80,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",991,2017,Villars,Speed,Women,Final,2017-07-07,/api/v1/category_rounds/4303/results,/api/v1/events/991/result/6,True,8.65,True,8.08,True,7.73,False,8.8,,,2017-07-07_Villars_Speed_Women_Final.csv
Krasavina Mariia,,3,8.46,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",991,2017,Villars,Speed,Women,Final,2017-07-07,/api/v1/category_rounds/4303/results,/api/v1/events/991/result/6,True,8.51,True,8.039,False,8.02,,,True,8.46,2017-07-07_Villars_Speed_Women_Final.csv
Ivanova Elizaveta,,4,8.73,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",991,2017,Villars,Speed,Women,Final,2017-07-07,/api/v1/category_rounds/4303/results,/api/v1/events/991/result/6,True,8.72,True,WILDCARD,False,8.15,,,False,8.73,2017-07-07_Villars_Speed_Women_Final.csv
Tsyganova Anna,,5,8.17,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",991,2017,Villars,Speed,Women,Final,2017-07-07,/api/v1/category_rounds/4303/results,/api/v1/events/991/result/6,True,WILDCARD,False,8.17,,,,,,,2017-07-07_Villars_Speed_Women_Final.csv
Andrier Victoire,,6,8.68,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",991,2017,Villars,Speed,Women,Final,2017-07-07,/api/v1/category_rounds/4303/results,/api/v1/events/991/result/6,True,8.84,False,8.68,,,,,,,2017-07-07_Villars_Speed_Women_Final.csv
Remizova Elena,,7,FALL,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",991,2017,Villars,Speed,Women,Final,2017-07-07,/api/v1/category_rounds/4303/results,/api/v1/events/991/result/6,True,8.31,False,FALL,,,,,,,2017-07-07_Villars_Speed_Women_Final.csv
Brozek Anna,,8,FALSE START,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",991,2017,Villars,Speed,Women,Final,2017-07-07,/api/v1/category_rounds/4303/results,/api/v1/events/991/result/6,True,8.74,False,FALSE START,,,,,,,2017-07-07_Villars_Speed_Women_Final.csv
Ropek Edyta,,9,8.44,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",991,2017,Villars,Speed,Women,Final,2017-07-07,/api/v1/category_rounds/4303/results,/api/v1/events/991/result/6,False,8.44,,,,,,,,,2017-07-07_Villars_Speed_Women_Final.csv
Chudziak Patrycja,,10,8.59,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",991,2017,Villars,Speed,Women,Final,2017-07-07,/api/v1/category_rounds/4303/results,/api/v1/events/991/result/6,False,8.59,,,,,,,,,2017-07-07_Villars_Speed_Women_Final.csv
Lestari Puji,,11,8.79,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",991,2017,Villars,Speed,Women,Final,2017-07-07,/api/v1/category_rounds/4303/results,/api/v1/events/991/result/6,False,8.79,,,,,,,,,2017-07-07_Villars_Speed_Women_Final.csv
Marenych Alla,,12,8.97,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",991,2017,Villars,Speed,Women,Final,2017-07-07,/api/v1/category_rounds/4303/results,/api/v1/events/991/result/6,False,8.97,,,,,,,,,2017-07-07_Villars_Speed_Women_Final.csv
Sarisson Aurelia,,13,9.00,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",991,2017,Villars,Speed,Women,Final,2017-07-07,/api/v1/category_rounds/4303/results,/api/v1/events/991/result/6,False,9.0,,,,,,,,,2017-07-07_Villars_Speed_Women_Final.csv
Sharova Svetlana,,14,10.00,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",991,2017,Villars,Speed,Women,Final,2017-07-07,/api/v1/category_rounds/4303/results,/api/v1/events/991/result/6,False,10.0,,,,,,,,,2017-07-07_Villars_Speed_Women_Final.csv
Motovilova Svetlana,,15,11.33,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",991,2017,Villars,Speed,Women,Final,2017-07-07,/api/v1/category_rounds/4303/results,/api/v1/events/991/result/6,False,11.33,,,,,,,,,2017-07-07_Villars_Speed_Women_Final.csv
Kan Daria,,16,FALSE START,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",991,2017,Villars,Speed,Women,Final,2017-07-07,/api/v1/category_rounds/4303/results,/api/v1/events/991/result/6,False,FALSE START,,,,,,,,,2017-07-07_Villars_Speed_Women_Final.csv
