name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,source_file
Jaelolo Aspar,INA,1,6.020,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Men,Qualification,2017-10-07,/api/v1/category_rounds/4343/results,/api/v1/events/995/result/2,2017-10-07_Wujiang_Speed_Men_Qualification.csv
Dzienski Marcin,POL,2,6.120,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Men,Qualification,2017-10-07,/api/v1/category_rounds/4343/results,/api/v1/events/995/result/2,2017-10-07_Wujiang_Speed_Men_Qualification.csv
Fossali Ludovico,ITA,3,6.160,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Men,Qualification,2017-10-07,/api/v1/category_rounds/4343/results,/api/v1/events/995/result/2,2017-10-07_Wujiang_Speed_Men_Qualification.csv
Kokorin Stanislav,RUS,3,6.160,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Men,Qualification,2017-10-07,/api/v1/category_rounds/4343/results,/api/v1/events/995/result/2,2017-10-07_Wujiang_Speed_Men_Qualification.csv
Sabri Sabri,INA,5,6.180,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Men,Qualification,2017-10-07,/api/v1/category_rounds/4343/results,/api/v1/events/995/result/2,2017-10-07_Wujiang_Speed_Men_Qualification.csv
Shikov Aleksandr,RUS,6,6.200,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Men,Qualification,2017-10-07,/api/v1/category_rounds/4343/results,/api/v1/events/995/result/2,2017-10-07_Wujiang_Speed_Men_Qualification.csv
Li JinXin,CHN,7,6.260,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Men,Qualification,2017-10-07,/api/v1/category_rounds/4343/results,/api/v1/events/995/result/2,2017-10-07_Wujiang_Speed_Men_Qualification.csv
Gontero Leonardo,ITA,8,6.270,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Men,Qualification,2017-10-07,/api/v1/category_rounds/4343/results,/api/v1/events/995/result/2,2017-10-07_Wujiang_Speed_Men_Qualification.csv
Shilov Aleksandr,RUS,8,6.270,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Men,Qualification,2017-10-07,/api/v1/category_rounds/4343/results,/api/v1/events/995/result/2,2017-10-07_Wujiang_Speed_Men_Qualification.csv
Deulin Vladislav,RUS,10,6.320,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Men,Qualification,2017-10-07,/api/v1/category_rounds/4343/results,/api/v1/events/995/result/2,2017-10-07_Wujiang_Speed_Men_Qualification.csv
Ou ZhiYong,CHN,11,6.340,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Men,Qualification,2017-10-07,/api/v1/category_rounds/4343/results,/api/v1/events/995/result/2,2017-10-07_Wujiang_Speed_Men_Qualification.csv
