name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1
Garnbret Janja,SLO,1,Top,IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,1164,2017,Chamonix,Lead,Women,Semi-Final,2017-07-12,/api/v1/category_rounds/5999/results,/api/v1/events/1164/result/5,Top
Pilz Jessica,AUT,2,37,IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,1164,2017,Chamonix,Lead,Women,Semi-Final,2017-07-12,/api/v1/category_rounds/5999/results,/api/v1/events/1164/result/5,37
Kazbekova Ievgeniia,UKR,3,36+,IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,1164,2017,Chamonix,Lead,Women,Semi-Final,2017-07-12,/api/v1/category_rounds/5999/results,/api/v1/events/1164/result/5,36+
Kim Jain,KOR,4,33+,IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,1164,2017,Chamonix,Lead,Women,Semi-Final,2017-07-12,/api/v1/category_rounds/5999/results,/api/v1/events/1164/result/5,33+
Krampl Mia,SLO,5,33+,IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,1164,2017,Chamonix,Lead,Women,Semi-Final,2017-07-12,/api/v1/category_rounds/5999/results,/api/v1/events/1164/result/5,33+
Hafsaas Tina Johnsen,NOR,6,32+,IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,1164,2017,Chamonix,Lead,Women,Semi-Final,2017-07-12,/api/v1/category_rounds/5999/results,/api/v1/events/1164/result/5,32+
Verhoeven Anak,BEL,7,32,IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,1164,2017,Chamonix,Lead,Women,Semi-Final,2017-07-12,/api/v1/category_rounds/5999/results,/api/v1/events/1164/result/5,32
Chanourdie Julia,FRA,8,31,IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,1164,2017,Chamonix,Lead,Women,Semi-Final,2017-07-12,/api/v1/category_rounds/5999/results,/api/v1/events/1164/result/5,31
Koller Anne-Sophie,SUI,9,31,IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,1164,2017,Chamonix,Lead,Women,Semi-Final,2017-07-12,/api/v1/category_rounds/5999/results,/api/v1/events/1164/result/5,31
Raboutou Brooke,USA,10,31,IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,1164,2017,Chamonix,Lead,Women,Semi-Final,2017-07-12,/api/v1/category_rounds/5999/results,/api/v1/events/1164/result/5,31
Arc Nolwenn,FRA,11,31,IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,1164,2017,Chamonix,Lead,Women,Semi-Final,2017-07-12,/api/v1/category_rounds/5999/results,/api/v1/events/1164/result/5,31
Schubert Hannah,AUT,12,29,IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,1164,2017,Chamonix,Lead,Women,Semi-Final,2017-07-12,/api/v1/category_rounds/5999/results,/api/v1/events/1164/result/5,29
Markovic Mina,SLO,13,28+,IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,1164,2017,Chamonix,Lead,Women,Semi-Final,2017-07-12,/api/v1/category_rounds/5999/results,/api/v1/events/1164/result/5,28+
