name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,source_file
Nonaka Miho,JPN,1,4t9 4b9,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017 ,985,2017,Meiringen,Boulder,Women,Semi-Final,2017-04-07,/api/v1/category_rounds/4256/results,/api/v1/events/985/result/7,1,1,4,4,1,1,3,3,2017-04-07_Meiringen_Boulder_Women_Semi-Final.csv
Gejo Stasa,SRB,2,3t5 3b3,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017 ,985,2017,Meiringen,Boulder,Women,Semi-Final,2017-04-07,/api/v1/category_rounds/4256/results,/api/v1/events/985/result/7,1,1,3,1,1,1,X,X,2017-04-07_Meiringen_Boulder_Women_Semi-Final.csv
Coxsey Shauna,GBR,3,3t7 3b7,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017 ,985,2017,Meiringen,Boulder,Women,Semi-Final,2017-04-07,/api/v1/category_rounds/4256/results,/api/v1/events/985/result/7,1,1,X,X,1,1,5,5,2017-04-07_Meiringen_Boulder_Women_Semi-Final.csv
Garnbret Janja,SLO,4,3t9 3b7,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017 ,985,2017,Meiringen,Boulder,Women,Semi-Final,2017-04-07,/api/v1/category_rounds/4256/results,/api/v1/events/985/result/7,2,1,X,X,2,1,5,5,2017-04-07_Meiringen_Boulder_Women_Semi-Final.csv
Klingler Petra,SUI,5,2t2 4b9,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017 ,985,2017,Meiringen,Boulder,Women,Semi-Final,2017-04-07,/api/v1/category_rounds/4256/results,/api/v1/events/985/result/7,1,1,X,1,1,1,X,6,2017-04-07_Meiringen_Boulder_Women_Semi-Final.csv
Saurwein Katharina,AUT,6,2t3 3b8,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017 ,985,2017,Meiringen,Boulder,Women,Semi-Final,2017-04-07,/api/v1/category_rounds/4256/results,/api/v1/events/985/result/7,2,1,X,X,1,1,X,6,2017-04-07_Meiringen_Boulder_Women_Semi-Final.csv
Tracy Michaela,GBR,7,2t4 3b7,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017 ,985,2017,Meiringen,Boulder,Women,Semi-Final,2017-04-07,/api/v1/category_rounds/4256/results,/api/v1/events/985/result/7,2,1,2,2,X,4,X,X,2017-04-07_Meiringen_Boulder_Women_Semi-Final.csv
Gibert Fanny,FRA,8,2t6 4b8,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017 ,985,2017,Meiringen,Boulder,Women,Semi-Final,2017-04-07,/api/v1/category_rounds/4256/results,/api/v1/events/985/result/7,X,1,2,2,X,1,4,4,2017-04-07_Meiringen_Boulder_Women_Semi-Final.csv
Sa Sol,KOR,9,2t7 2b3,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017 ,985,2017,Meiringen,Boulder,Women,Semi-Final,2017-04-07,/api/v1/category_rounds/4256/results,/api/v1/events/985/result/7,3,2,X,X,4,1,X,X,2017-04-07_Meiringen_Boulder_Women_Semi-Final.csv
Kümin Andrea,SUI,10,1t1 4b13,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017 ,985,2017,Meiringen,Boulder,Women,Semi-Final,2017-04-07,/api/v1/category_rounds/4256/results,/api/v1/events/985/result/7,X,1,1,1,X,2,X,9,2017-04-07_Meiringen_Boulder_Women_Semi-Final.csv
Hily Manon,FRA,11,1t1 3b8,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017 ,985,2017,Meiringen,Boulder,Women,Semi-Final,2017-04-07,/api/v1/category_rounds/4256/results,/api/v1/events/985/result/7,1,1,X,X,X,1,X,6,2017-04-07_Meiringen_Boulder_Women_Semi-Final.csv
Meul Hannah,GER,12,1t1 2b2,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017 ,985,2017,Meiringen,Boulder,Women,Semi-Final,2017-04-07,/api/v1/category_rounds/4256/results,/api/v1/events/985/result/7,X,1,1,1,X,X,X,X,2017-04-07_Meiringen_Boulder_Women_Semi-Final.csv
Bestvater Alma,GER,13,1t1 2b6,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017 ,985,2017,Meiringen,Boulder,Women,Semi-Final,2017-04-07,/api/v1/category_rounds/4256/results,/api/v1/events/985/result/7,1,1,X,5,X,X,X,X,2017-04-07_Meiringen_Boulder_Women_Semi-Final.csv
Kotake Mei,JPN,14,1t2 2b2,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017 ,985,2017,Meiringen,Boulder,Women,Semi-Final,2017-04-07,/api/v1/category_rounds/4256/results,/api/v1/events/985/result/7,X,1,X,X,2,1,X,X,2017-04-07_Meiringen_Boulder_Women_Semi-Final.csv
Caulier Chloe,BEL,15,1t2 2b3,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017 ,985,2017,Meiringen,Boulder,Women,Semi-Final,2017-04-07,/api/v1/category_rounds/4256/results,/api/v1/events/985/result/7,2,2,X,X,X,1,X,X,2017-04-07_Meiringen_Boulder_Women_Semi-Final.csv
Kadic Katja,SLO,16,0t 2b2,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017 ,985,2017,Meiringen,Boulder,Women,Semi-Final,2017-04-07,/api/v1/category_rounds/4256/results,/api/v1/events/985/result/7,X,1,X,1,X,X,X,X,2017-04-07_Meiringen_Boulder_Women_Semi-Final.csv
Lee Hung Ying,TPE,17,0t 2b5,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017 ,985,2017,Meiringen,Boulder,Women,Semi-Final,2017-04-07,/api/v1/category_rounds/4256/results,/api/v1/events/985/result/7,X,1,X,X,X,4,X,X,2017-04-07_Meiringen_Boulder_Women_Semi-Final.csv
Blair-Coyle Sierra,USA,18,0t 2b6,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017 ,985,2017,Meiringen,Boulder,Women,Semi-Final,2017-04-07,/api/v1/category_rounds/4256/results,/api/v1/events/985/result/7,X,1,X,5,X,X,X,X,2017-04-07_Meiringen_Boulder_Women_Semi-Final.csv
Lukan Vita,SLO,19,0t 2b7,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017 ,985,2017,Meiringen,Boulder,Women,Semi-Final,2017-04-07,/api/v1/category_rounds/4256/results,/api/v1/events/985/result/7,X,1,X,6,X,X,X,X,2017-04-07_Meiringen_Boulder_Women_Semi-Final.csv
Mascarenas Megan,USA,20,0t 1b1,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017 ,985,2017,Meiringen,Boulder,Women,Semi-Final,2017-04-07,/api/v1/category_rounds/4256/results,/api/v1/events/985/result/7,X,1,X,X,X,X,X,X,2017-04-07_Meiringen_Boulder_Women_Semi-Final.csv
