name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,source_file
Kaplina Iuliia,RUS,1,7.900,IFSC Climbing Worldcup (S) - Central Saanich (CAN) 2015,897,2015,Saanich,Speed,Women,Qualification,2015-05-17,/api/v1/category_rounds/3410/results,/api/v1/events/897/result/6,2015-05-17_Saanich_Speed_Women_Qualification.csv
Jaubert Anouck,FRA,2,7.980,IFSC Climbing Worldcup (S) - Central Saanich (CAN) 2015,897,2015,Saanich,Speed,Women,Qualification,2015-05-17,/api/v1/category_rounds/3410/results,/api/v1/events/897/result/6,2015-05-17_Saanich_Speed_Women_Qualification.csv
Krasavina Mariia,RUS,3,8.130,IFSC Climbing Worldcup (S) - Central Saanich (CAN) 2015,897,2015,Saanich,Speed,Women,Qualification,2015-05-17,/api/v1/category_rounds/3410/results,/api/v1/events/897/result/6,2015-05-17_Saanich_Speed_Women_Qualification.csv
Tsyganova Anna,RUS,4,8.630,IFSC Climbing Worldcup (S) - Central Saanich (CAN) 2015,897,2015,Saanich,Speed,Women,Qualification,2015-05-17,/api/v1/category_rounds/3410/results,/api/v1/events/897/result/6,2015-05-17_Saanich_Speed_Women_Qualification.csv
Buczek Klaudia,POL,5,8.680,IFSC Climbing Worldcup (S) - Central Saanich (CAN) 2015,897,2015,Saanich,Speed,Women,Qualification,2015-05-17,/api/v1/category_rounds/3410/results,/api/v1/events/897/result/6,2015-05-17_Saanich_Speed_Women_Qualification.csv
Chudziak Patrycja,POL,6,8.730,IFSC Climbing Worldcup (S) - Central Saanich (CAN) 2015,897,2015,Saanich,Speed,Women,Qualification,2015-05-17,/api/v1/category_rounds/3410/results,/api/v1/events/897/result/6,2015-05-17_Saanich_Speed_Women_Qualification.csv
Rudzinska Aleksandra,POL,7,8.770,IFSC Climbing Worldcup (S) - Central Saanich (CAN) 2015,897,2015,Saanich,Speed,Women,Qualification,2015-05-17,/api/v1/category_rounds/3410/results,/api/v1/events/897/result/6,2015-05-17_Saanich_Speed_Women_Qualification.csv
Sarisson Aurelia,FRA,8,8.820,IFSC Climbing Worldcup (S) - Central Saanich (CAN) 2015,897,2015,Saanich,Speed,Women,Qualification,2015-05-17,/api/v1/category_rounds/3410/results,/api/v1/events/897/result/6,2015-05-17_Saanich_Speed_Women_Qualification.csv
Esmaeilzadeh Farnaz,IRI,9,9.130,IFSC Climbing Worldcup (S) - Central Saanich (CAN) 2015,897,2015,Saanich,Speed,Women,Qualification,2015-05-17,/api/v1/category_rounds/3410/results,/api/v1/events/897/result/6,2015-05-17_Saanich_Speed_Women_Qualification.csv
Ropek Edyta,POL,10,9.320,IFSC Climbing Worldcup (S) - Central Saanich (CAN) 2015,897,2015,Saanich,Speed,Women,Qualification,2015-05-17,/api/v1/category_rounds/3410/results,/api/v1/events/897/result/6,2015-05-17_Saanich_Speed_Women_Qualification.csv
Prokopiuk Monika,POL,11,9.470,IFSC Climbing Worldcup (S) - Central Saanich (CAN) 2015,897,2015,Saanich,Speed,Women,Qualification,2015-05-17,/api/v1/category_rounds/3410/results,/api/v1/events/897/result/6,2015-05-17_Saanich_Speed_Women_Qualification.csv
Meister Erica,USA,12,10.080,IFSC Climbing Worldcup (S) - Central Saanich (CAN) 2015,897,2015,Saanich,Speed,Women,Qualification,2015-05-17,/api/v1/category_rounds/3410/results,/api/v1/events/897/result/6,2015-05-17_Saanich_Speed_Women_Qualification.csv
Trinidad Sidney,USA,13,10.460,IFSC Climbing Worldcup (S) - Central Saanich (CAN) 2015,897,2015,Saanich,Speed,Women,Qualification,2015-05-17,/api/v1/category_rounds/3410/results,/api/v1/events/897/result/6,2015-05-17_Saanich_Speed_Women_Qualification.csv
Stewart-Patterson Alison,CAN,14,10.830,IFSC Climbing Worldcup (S) - Central Saanich (CAN) 2015,897,2015,Saanich,Speed,Women,Qualification,2015-05-17,/api/v1/category_rounds/3410/results,/api/v1/events/897/result/6,2015-05-17_Saanich_Speed_Women_Qualification.csv
Moss Elena,CAN,15,13.140,IFSC Climbing Worldcup (S) - Central Saanich (CAN) 2015,897,2015,Saanich,Speed,Women,Qualification,2015-05-17,/api/v1/category_rounds/3410/results,/api/v1/events/897/result/6,2015-05-17_Saanich_Speed_Women_Qualification.csv
Dube-Laroche Maggy,CAN,16,13.690,IFSC Climbing Worldcup (S) - Central Saanich (CAN) 2015,897,2015,Saanich,Speed,Women,Qualification,2015-05-17,/api/v1/category_rounds/3410/results,/api/v1/events/897/result/6,2015-05-17_Saanich_Speed_Women_Qualification.csv
Trottier Evelyna,CAN,17,17.150,IFSC Climbing Worldcup (S) - Central Saanich (CAN) 2015,897,2015,Saanich,Speed,Women,Qualification,2015-05-17,/api/v1/category_rounds/3410/results,/api/v1/events/897/result/6,2015-05-17_Saanich_Speed_Women_Qualification.csv
