name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,Final_winner,Final_time,Small Final_winner,Small Final_time,source_file
Gontero Leonardo,,1,6.60,IFSC Climbing Worldcup (S) - Arco (ITA) 2012,737,2012,Arco,Speed,Men,Final,2012-09-01,/api/v1/category_rounds/2110/results,/api/v1/events/737/result/2,True,7.01,True,7.27,True,6.79,True,6.6,,,2012-09-01_Arco_Speed_Men_Final.csv
Sinitcyn Sergei,,2,6.74,IFSC Climbing Worldcup (S) - Arco (ITA) 2012,737,2012,Arco,Speed,Men,Final,2012-09-01,/api/v1/category_rounds/2110/results,/api/v1/events/737/result/2,True,7.28,True,6.82,True,6.65,False,6.74,,,2012-09-01_Arco_Speed_Men_Final.csv
Hroza Libor,,3,6.50,IFSC Climbing Worldcup (S) - Arco (ITA) 2012,737,2012,Arco,Speed,Men,Final,2012-09-01,/api/v1/category_rounds/2110/results,/api/v1/events/737/result/2,True,7.55,True,6.69,False,FALL,,,True,6.5,2012-09-01_Arco_Speed_Men_Final.csv
Kokorin Stanislav,,4,FALL,IFSC Climbing Worldcup (S) - Arco (ITA) 2012,737,2012,Arco,Speed,Men,Final,2012-09-01,/api/v1/category_rounds/2110/results,/api/v1/events/737/result/2,True,6.69,True,6.77,False,8.81,,,False,FALL,2012-09-01_Arco_Speed_Men_Final.csv
Komosinski Jedrzej,,5,6.84,IFSC Climbing Worldcup (S) - Arco (ITA) 2012,737,2012,Arco,Speed,Men,Final,2012-09-01,/api/v1/category_rounds/2110/results,/api/v1/events/737/result/2,True,6.87,False,6.84,,,,,,,2012-09-01_Arco_Speed_Men_Final.csv
Abdrakhmanov Sergey,,6,7.90,IFSC Climbing Worldcup (S) - Arco (ITA) 2012,737,2012,Arco,Speed,Men,Final,2012-09-01,/api/v1/category_rounds/2110/results,/api/v1/events/737/result/2,True,6.97,False,7.9,,,,,,,2012-09-01_Arco_Speed_Men_Final.csv
Boldyrev Danyil,,7,9.49,IFSC Climbing Worldcup (S) - Arco (ITA) 2012,737,2012,Arco,Speed,Men,Final,2012-09-01,/api/v1/category_rounds/2110/results,/api/v1/events/737/result/2,True,7.02,False,9.49,,,,,,,2012-09-01_Arco_Speed_Men_Final.csv
Mawem Bassa,,8,FALL,IFSC Climbing Worldcup (S) - Arco (ITA) 2012,737,2012,Arco,Speed,Men,Final,2012-09-01,/api/v1/category_rounds/2110/results,/api/v1/events/737/result/2,True,6.82,False,FALL,,,,,,,2012-09-01_Arco_Speed_Men_Final.csv
Swirk Lukasz,,9,7.12,IFSC Climbing Worldcup (S) - Arco (ITA) 2012,737,2012,Arco,Speed,Men,Final,2012-09-01,/api/v1/category_rounds/2110/results,/api/v1/events/737/result/2,False,7.12,,,,,,,,,2012-09-01_Arco_Speed_Men_Final.csv
Shevchenko Arsenii,,10,7.54,IFSC Climbing Worldcup (S) - Arco (ITA) 2012,737,2012,Arco,Speed,Men,Final,2012-09-01,/api/v1/category_rounds/2110/results,/api/v1/events/737/result/2,False,7.54,,,,,,,,,2012-09-01_Arco_Speed_Men_Final.csv
LE COUSTER Yoann,,11,7.54,IFSC Climbing Worldcup (S) - Arco (ITA) 2012,737,2012,Arco,Speed,Men,Final,2012-09-01,/api/v1/category_rounds/2110/results,/api/v1/events/737/result/2,False,7.54,,,,,,,,,2012-09-01_Arco_Speed_Men_Final.csv
Vaitsekhovskii Evgenii,,12,7.70,IFSC Climbing Worldcup (S) - Arco (ITA) 2012,737,2012,Arco,Speed,Men,Final,2012-09-01,/api/v1/category_rounds/2110/results,/api/v1/events/737/result/2,False,7.7,,,,,,,,,2012-09-01_Arco_Speed_Men_Final.csv
Quinteros Andres,,13,8.45,IFSC Climbing Worldcup (S) - Arco (ITA) 2012,737,2012,Arco,Speed,Men,Final,2012-09-01,/api/v1/category_rounds/2110/results,/api/v1/events/737/result/2,False,8.45,,,,,,,,,2012-09-01_Arco_Speed_Men_Final.csv
Yurko Oleksiy,,14,FALL,IFSC Climbing Worldcup (S) - Arco (ITA) 2012,737,2012,Arco,Speed,Men,Final,2012-09-01,/api/v1/category_rounds/2110/results,/api/v1/events/737/result/2,False,FALL,,,,,,,,,2012-09-01_Arco_Speed_Men_Final.csv
Escobar Manuel,,15,FALL,IFSC Climbing Worldcup (S) - Arco (ITA) 2012,737,2012,Arco,Speed,Men,Final,2012-09-01,/api/v1/category_rounds/2110/results,/api/v1/events/737/result/2,False,FALL,,,,,,,,,2012-09-01_Arco_Speed_Men_Final.csv
Estevez  Isaac,,16,FALL,IFSC Climbing Worldcup (S) - Arco (ITA) 2012,737,2012,Arco,Speed,Men,Final,2012-09-01,/api/v1/category_rounds/2110/results,/api/v1/events/737/result/2,False,FALL,,,,,,,,,2012-09-01_Arco_Speed_Men_Final.csv
