name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,source_file
Tauporn Thomas,GER,1,3t5 4b10,IFSC Climbing Worldcup (B) - Munich (GER) 2013,799,2013,Munich,Boulder,Men,Semi-Final,2013-08-24,/api/v1/category_rounds/2584/results,/api/v1/events/799/result/3,3,3,1,1,1,1,X,5,2013-08-24_Munich_Boulder_Men_Semi-Final.csv
Sharafutdinov Dmitrii,RUS,2,3t8 4b10,IFSC Climbing Worldcup (B) - Munich (GER) 2013,799,2013,Munich,Boulder,Men,Semi-Final,2013-08-24,/api/v1/category_rounds/2584/results,/api/v1/events/799/result/3,5,5,2,2,1,1,X,2,2013-08-24_Munich_Boulder_Men_Semi-Final.csv
Gelmanov Rustam,RUS,3,3t10 4b9,IFSC Climbing Worldcup (B) - Munich (GER) 2013,799,2013,Munich,Boulder,Men,Semi-Final,2013-08-24,/api/v1/category_rounds/2584/results,/api/v1/events/799/result/3,1,1,6,6,3,1,X,1,2013-08-24_Munich_Boulder_Men_Semi-Final.csv
Shalagin Mykhaylo,UKR,4,3t12 4b10,IFSC Climbing Worldcup (B) - Munich (GER) 2013,799,2013,Munich,Boulder,Men,Semi-Final,2013-08-24,/api/v1/category_rounds/2584/results,/api/v1/events/799/result/3,4,3,5,5,3,1,X,1,2013-08-24_Munich_Boulder_Men_Semi-Final.csv
Sugimoto Rei,JPN,5,2t2 2b2,IFSC Climbing Worldcup (B) - Munich (GER) 2013,799,2013,Munich,Boulder,Men,Semi-Final,2013-08-24,/api/v1/category_rounds/2584/results,/api/v1/events/799/result/3,1,1,X,X,1,1,X,X,2013-08-24_Munich_Boulder_Men_Semi-Final.csv
Amma Sachi,JPN,6,2t3 3b6,IFSC Climbing Worldcup (B) - Munich (GER) 2013,799,2013,Munich,Boulder,Men,Semi-Final,2013-08-24,/api/v1/category_rounds/2584/results,/api/v1/events/799/result/3,X,X,2,2,1,1,X,3,2013-08-24_Munich_Boulder_Men_Semi-Final.csv
Hojer Jan,GER,7,2t7 3b5,IFSC Climbing Worldcup (B) - Munich (GER) 2013,799,2013,Munich,Boulder,Men,Semi-Final,2013-08-24,/api/v1/category_rounds/2584/results,/api/v1/events/799/result/3,3,3,4,1,X,1,X,X,2013-08-24_Munich_Boulder_Men_Semi-Final.csv
McColl Sean,CAN,8,2t7 3b9,IFSC Climbing Worldcup (B) - Munich (GER) 2013,799,2013,Munich,Boulder,Men,Semi-Final,2013-08-24,/api/v1/category_rounds/2584/results,/api/v1/events/799/result/3,5,5,X,X,2,1,X,3,2013-08-24_Munich_Boulder_Men_Semi-Final.csv
Ter-Minasyan Arman,RUS,9,2t8 4b12,IFSC Climbing Worldcup (B) - Munich (GER) 2013,799,2013,Munich,Boulder,Men,Semi-Final,2013-08-24,/api/v1/category_rounds/2584/results,/api/v1/events/799/result/3,5,5,3,3,X,3,X,1,2013-08-24_Munich_Boulder_Men_Semi-Final.csv
Schubert Jakob,AUT,10,2t9 3b9,IFSC Climbing Worldcup (B) - Munich (GER) 2013,799,2013,Munich,Boulder,Men,Semi-Final,2013-08-24,/api/v1/category_rounds/2584/results,/api/v1/events/799/result/3,X,6,5,2,4,1,X,X,2013-08-24_Munich_Boulder_Men_Semi-Final.csv
Lachat Cédric,SUI,11,1t1 3b3,IFSC Climbing Worldcup (B) - Munich (GER) 2013,799,2013,Munich,Boulder,Men,Semi-Final,2013-08-24,/api/v1/category_rounds/2584/results,/api/v1/events/799/result/3,X,X,1,1,X,1,X,1,2013-08-24_Munich_Boulder_Men_Semi-Final.csv
Webb-Parsons Christopher,AUS,12,1t1 2b2,IFSC Climbing Worldcup (B) - Munich (GER) 2013,799,2013,Munich,Boulder,Men,Semi-Final,2013-08-24,/api/v1/category_rounds/2584/results,/api/v1/events/799/result/3,X,X,X,X,1,1,X,1,2013-08-24_Munich_Boulder_Men_Semi-Final.csv
Kruder Jernej,SLO,13,1t1 2b5,IFSC Climbing Worldcup (B) - Munich (GER) 2013,799,2013,Munich,Boulder,Men,Semi-Final,2013-08-24,/api/v1/category_rounds/2584/results,/api/v1/events/799/result/3,X,X,X,X,1,1,X,4,2013-08-24_Munich_Boulder_Men_Semi-Final.csv
Fischhuber Kilian,AUT,14,1t2 1b1,IFSC Climbing Worldcup (B) - Munich (GER) 2013,799,2013,Munich,Boulder,Men,Semi-Final,2013-08-24,/api/v1/category_rounds/2584/results,/api/v1/events/799/result/3,X,X,X,X,2,1,X,X,2013-08-24_Munich_Boulder_Men_Semi-Final.csv
Novitskiy Yury,RUS,15,1t3 4b6,IFSC Climbing Worldcup (B) - Munich (GER) 2013,799,2013,Munich,Boulder,Men,Semi-Final,2013-08-24,/api/v1/category_rounds/2584/results,/api/v1/events/799/result/3,3,3,X,1,X,1,X,1,2013-08-24_Munich_Boulder_Men_Semi-Final.csv
Piccolruaz Michael,ITA,16,1t3 2b4,IFSC Climbing Worldcup (B) - Munich (GER) 2013,799,2013,Munich,Boulder,Men,Semi-Final,2013-08-24,/api/v1/category_rounds/2584/results,/api/v1/events/799/result/3,X,X,3,3,X,1,X,X,2013-08-24_Munich_Boulder_Men_Semi-Final.csv
Baumann Jonas,GER,17,0t 2b2,IFSC Climbing Worldcup (B) - Munich (GER) 2013,799,2013,Munich,Boulder,Men,Semi-Final,2013-08-24,/api/v1/category_rounds/2584/results,/api/v1/events/799/result/3,X,X,X,1,X,1,X,X,2013-08-24_Munich_Boulder_Men_Semi-Final.csv
Barrans David,GBR,18,0t 2b3,IFSC Climbing Worldcup (B) - Munich (GER) 2013,799,2013,Munich,Boulder,Men,Semi-Final,2013-08-24,/api/v1/category_rounds/2584/results,/api/v1/events/799/result/3,X,X,X,X,X,1,X,2,2013-08-24_Munich_Boulder_Men_Semi-Final.csv
Johansonn Anton,FIN,19,0t 2b7,IFSC Climbing Worldcup (B) - Munich (GER) 2013,799,2013,Munich,Boulder,Men,Semi-Final,2013-08-24,/api/v1/category_rounds/2584/results,/api/v1/events/799/result/3,X,X,X,4,X,3,X,X,2013-08-24_Munich_Boulder_Men_Semi-Final.csv
Ratajczak Philip,GER,20,0t 0b,IFSC Climbing Worldcup (B) - Munich (GER) 2013,799,2013,Munich,Boulder,Men,Semi-Final,2013-08-24,/api/v1/category_rounds/2584/results,/api/v1/events/799/result/3,X,X,X,X,X,X,X,X,2013-08-24_Munich_Boulder_Men_Semi-Final.csv
