name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results
Krasavina Mariia,RUS,1,8.453,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",803,2013,Mokpo,Speed,Women,Qualification,2013-10-11,/api/v1/category_rounds/2609/results,/api/v1/events/803/result/6
Gaidamakina Alina,RUS,2,8.719,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",803,2013,Mokpo,Speed,Women,Qualification,2013-10-11,/api/v1/category_rounds/2609/results,/api/v1/events/803/result/6
Buczek Klaudia,POL,3,8.812,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",803,2013,Mokpo,Speed,Women,Qualification,2013-10-11,/api/v1/category_rounds/2609/results,/api/v1/events/803/result/6
Rudzinska Aleksandra,POL,4,8.828,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",803,2013,Mokpo,Speed,Women,Qualification,2013-10-11,/api/v1/category_rounds/2609/results,/api/v1/events/803/result/6
Kaplina Iuliia,RUS,5,8.875,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",803,2013,Mokpo,Speed,Women,Qualification,2013-10-11,/api/v1/category_rounds/2609/results,/api/v1/events/803/result/6
Levochkina  Yuliya,RUS,6,9.062,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",803,2013,Mokpo,Speed,Women,Qualification,2013-10-11,/api/v1/category_rounds/2609/results,/api/v1/events/803/result/6
Jaubert Anouck,FRA,7,9.219,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",803,2013,Mokpo,Speed,Women,Qualification,2013-10-11,/api/v1/category_rounds/2609/results,/api/v1/events/803/result/6
Esmaeilzadeh Farnaz,IRI,8,9.609,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",803,2013,Mokpo,Speed,Women,Qualification,2013-10-11,/api/v1/category_rounds/2609/results,/api/v1/events/803/result/6
Heitz Margot,FRA,9,9.672,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",803,2013,Mokpo,Speed,Women,Qualification,2013-10-11,/api/v1/category_rounds/2609/results,/api/v1/events/803/result/6
Ropek Edyta,POL,10,9.922,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",803,2013,Mokpo,Speed,Women,Qualification,2013-10-11,/api/v1/category_rounds/2609/results,/api/v1/events/803/result/6
Prokopiuk Monika,POL,11,10.031,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",803,2013,Mokpo,Speed,Women,Qualification,2013-10-11,/api/v1/category_rounds/2609/results,/api/v1/events/803/result/6
Marenych Alla,UKR,12,10.188,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",803,2013,Mokpo,Speed,Women,Qualification,2013-10-11,/api/v1/category_rounds/2609/results,/api/v1/events/803/result/6
Saurwein Katharina,AUT,13,17.422,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",803,2013,Mokpo,Speed,Women,Qualification,2013-10-11,/api/v1/category_rounds/2609/results,/api/v1/events/803/result/6
Jeong Woonwha,KOR,14,24.469,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",803,2013,Mokpo,Speed,Women,Qualification,2013-10-11,/api/v1/category_rounds/2609/results,/api/v1/events/803/result/6
