name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,Final_winner,Final_time,Small Final_winner,Small Final_time,source_file
Gaidamakina Alina,,1,8.35,"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",802,2013,Perm,Speed,Women,Final,2013-09-27,/api/v1/category_rounds/2600/results,/api/v1/events/802/result/6,True,8.71,True,8.48,True,8.35,True,8.35,,,2013-09-27_Perm_Speed_Women_Final.csv
Levochkina  Yuliya,,2,8.78,"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",802,2013,Perm,Speed,Women,Final,2013-09-27,/api/v1/category_rounds/2600/results,/api/v1/events/802/result/6,True,9.1,True,9.22,True,8.7,False,8.78,,,2013-09-27_Perm_Speed_Women_Final.csv
Krasavina Mariia,,3,8.38,"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",802,2013,Perm,Speed,Women,Final,2013-09-27,/api/v1/category_rounds/2600/results,/api/v1/events/802/result/6,True,8.53,True,8.44,False,10.82,,,True,8.38,2013-09-27_Perm_Speed_Women_Final.csv
Miroslaw Aleksandra,,4,FALL,"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",802,2013,Perm,Speed,Women,Final,2013-09-27,/api/v1/category_rounds/2600/results,/api/v1/events/802/result/6,True,9.18,True,8.69,False,10.48,,,False,FALL,2013-09-27_Perm_Speed_Women_Final.csv
Buczek Klaudia,,5,8.72,"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",802,2013,Perm,Speed,Women,Final,2013-09-27,/api/v1/category_rounds/2600/results,/api/v1/events/802/result/6,True,9.42,False,8.72,,,,,,,2013-09-27_Perm_Speed_Women_Final.csv
Polekhina Kseniya,,6,9.62,"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",802,2013,Perm,Speed,Women,Final,2013-09-27,/api/v1/category_rounds/2600/results,/api/v1/events/802/result/6,True,8.93,False,9.62,,,,,,,2013-09-27_Perm_Speed_Women_Final.csv
Kaplina Iuliia,,7,99.99,"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",802,2013,Perm,Speed,Women,Final,2013-09-27,/api/v1/category_rounds/2600/results,/api/v1/events/802/result/6,True,9.03,False,99.99,,,,,,,2013-09-27_Perm_Speed_Women_Final.csv
Jaubert Anouck,,8,FALL,"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",802,2013,Perm,Speed,Women,Final,2013-09-27,/api/v1/category_rounds/2600/results,/api/v1/events/802/result/6,True,10.14,False,FALL,,,,,,,2013-09-27_Perm_Speed_Women_Final.csv
Prokopiuk-Kawecka Monika,,9,10.09,"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",802,2013,Perm,Speed,Women,Final,2013-09-27,/api/v1/category_rounds/2600/results,/api/v1/events/802/result/6,False,10.09,,,,,,,,,2013-09-27_Perm_Speed_Women_Final.csv
Iakovleva Natalia,,10,10.40,"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",802,2013,Perm,Speed,Women,Final,2013-09-27,/api/v1/category_rounds/2600/results,/api/v1/events/802/result/6,False,10.4,,,,,,,,,2013-09-27_Perm_Speed_Women_Final.csv
Motovilova Svetlana,,11,10.54,"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",802,2013,Perm,Speed,Women,Final,2013-09-27,/api/v1/category_rounds/2600/results,/api/v1/events/802/result/6,False,10.54,,,,,,,,,2013-09-27_Perm_Speed_Women_Final.csv
Pichler Stefanie,,12,11.06,"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",802,2013,Perm,Speed,Women,Final,2013-09-27,/api/v1/category_rounds/2600/results,/api/v1/events/802/result/6,False,11.06,,,,,,,,,2013-09-27_Perm_Speed_Women_Final.csv
Shatalova Varvara,,13,11.31,"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",802,2013,Perm,Speed,Women,Final,2013-09-27,/api/v1/category_rounds/2600/results,/api/v1/events/802/result/6,False,11.31,,,,,,,,,2013-09-27_Perm_Speed_Women_Final.csv
Tsyganova Anna,,14,FALL,"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",802,2013,Perm,Speed,Women,Final,2013-09-27,/api/v1/category_rounds/2600/results,/api/v1/events/802/result/6,False,FALL,,,,,,,,,2013-09-27_Perm_Speed_Women_Final.csv
Chudziak Patrycja,,15,FALL,"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",802,2013,Perm,Speed,Women,Final,2013-09-27,/api/v1/category_rounds/2600/results,/api/v1/events/802/result/6,False,FALL,,,,,,,,,2013-09-27_Perm_Speed_Women_Final.csv
Timofeeva Elena,,16,FALL,"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",802,2013,Perm,Speed,Women,Final,2013-09-27,/api/v1/category_rounds/2600/results,/api/v1/events/802/result/6,False,FALL,,,,,,,,,2013-09-27_Perm_Speed_Women_Final.csv
