name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone,source_file
Färber Johanna,AUT,1,5T5z 6 6,"IFSC Climbing Worldcup (B,S) - Tai'an (CHN) 2018 ",1050,2018,Taian,Boulder,Women,Qualification,2018-05-12,/api/v1/category_rounds/4942/results,/api/v1/events/1050/result/7,1,1,1,1,2,2,1,1,1,1,2018-05-12_Taian_Boulder_Women_Qualification.csv
Gibert Fanny,FRA,1,5T5z 5 5,"IFSC Climbing Worldcup (B,S) - Tai'an (CHN) 2018 ",1050,2018,Taian,Boulder,Women,Qualification,2018-05-12,/api/v1/category_rounds/4942/results,/api/v1/events/1050/result/7,1,1,1,1,1,1,1,1,1,1,2018-05-12_Taian_Boulder_Women_Qualification.csv
Noguchi Akiyo,JPN,1,5T5z 5 5,"IFSC Climbing Worldcup (B,S) - Tai'an (CHN) 2018 ",1050,2018,Taian,Boulder,Women,Qualification,2018-05-12,/api/v1/category_rounds/4942/results,/api/v1/events/1050/result/7,1,1,1,1,1,1,1,1,1,1,2018-05-12_Taian_Boulder_Women_Qualification.csv
Nonaka Miho,JPN,2,5T5z 7 6,"IFSC Climbing Worldcup (B,S) - Tai'an (CHN) 2018 ",1050,2018,Taian,Boulder,Women,Qualification,2018-05-12,/api/v1/category_rounds/4942/results,/api/v1/events/1050/result/7,1,1,1,1,1,1,2,2,2,1,2018-05-12_Taian_Boulder_Women_Qualification.csv
Gejo Stasa,SRB,3,5T5z 6 5,"IFSC Climbing Worldcup (B,S) - Tai'an (CHN) 2018 ",1050,2018,Taian,Boulder,Women,Qualification,2018-05-12,/api/v1/category_rounds/4942/results,/api/v1/events/1050/result/7,1,1,1,1,2,1,1,1,1,1,2018-05-12_Taian_Boulder_Women_Qualification.csv
Panteleeva Iuliia,RUS,3,5T5z 10 8,"IFSC Climbing Worldcup (B,S) - Tai'an (CHN) 2018 ",1050,2018,Taian,Boulder,Women,Qualification,2018-05-12,/api/v1/category_rounds/4942/results,/api/v1/events/1050/result/7,1,1,1,1,1,1,5,4,2,1,2018-05-12_Taian_Boulder_Women_Qualification.csv
Ito Futaba,JPN,4,5T5z 10 10,"IFSC Climbing Worldcup (B,S) - Tai'an (CHN) 2018 ",1050,2018,Taian,Boulder,Women,Qualification,2018-05-12,/api/v1/category_rounds/4942/results,/api/v1/events/1050/result/7,1,1,1,1,2,2,5,5,1,1,2018-05-12_Taian_Boulder_Women_Qualification.csv
Pilz Jessica,AUT,4,5T5z 9 5,"IFSC Climbing Worldcup (B,S) - Tai'an (CHN) 2018 ",1050,2018,Taian,Boulder,Women,Qualification,2018-05-12,/api/v1/category_rounds/4942/results,/api/v1/events/1050/result/7,2,1,1,1,3,1,1,1,2,1,2018-05-12_Taian_Boulder_Women_Qualification.csv
Kadic Katja,SLO,5,5T5z 12 11,"IFSC Climbing Worldcup (B,S) - Tai'an (CHN) 2018 ",1050,2018,Taian,Boulder,Women,Qualification,2018-05-12,/api/v1/category_rounds/4942/results,/api/v1/events/1050/result/7,1,1,2,1,2,2,6,6,1,1,2018-05-12_Taian_Boulder_Women_Qualification.csv
Kipriianova Ekaterina,RUS,5,5T5z 9 6,"IFSC Climbing Worldcup (B,S) - Tai'an (CHN) 2018 ",1050,2018,Taian,Boulder,Women,Qualification,2018-05-12,/api/v1/category_rounds/4942/results,/api/v1/events/1050/result/7,1,1,1,1,3,2,1,1,3,1,2018-05-12_Taian_Boulder_Women_Qualification.csv
Cohaut Flavy,FRA,6,5T5z 12 9,"IFSC Climbing Worldcup (B,S) - Tai'an (CHN) 2018 ",1050,2018,Taian,Boulder,Women,Qualification,2018-05-12,/api/v1/category_rounds/4942/results,/api/v1/events/1050/result/7,3,1,1,1,3,3,2,2,3,2,2018-05-12_Taian_Boulder_Women_Qualification.csv
