name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,source_file
Fujii Kokoro,JPN,1,4T4z 7 7,IFSC Climbing World Championships - Innsbruck (AUT) 2018,1061,2018,Innsbruck,Boulder,Men,Semi-Final,2018-09-06,/api/v1/category_rounds/5044/results,/api/v1/events/1061/result/3,1,1,2,2,3,3,1,1,2018-09-06_Innsbruck_Boulder_Men_Semi-Final.csv
Chon Jongwon,KOR,2,4T4z 9 6,IFSC Climbing World Championships - Innsbruck (AUT) 2018,1061,2018,Innsbruck,Boulder,Men,Semi-Final,2018-09-06,/api/v1/category_rounds/5044/results,/api/v1/events/1061/result/3,4,1,1,1,3,3,1,1,2018-09-06_Innsbruck_Boulder_Men_Semi-Final.csv
Vezonik Gregor,SLO,3,4T4z 10 9,IFSC Climbing World Championships - Innsbruck (AUT) 2018,1061,2018,Innsbruck,Boulder,Men,Semi-Final,2018-09-06,/api/v1/category_rounds/5044/results,/api/v1/events/1061/result/3,4,4,1,1,4,3,1,1,2018-09-06_Innsbruck_Boulder_Men_Semi-Final.csv
Harada Kai,JPN,4,4T4z 10 10,IFSC Climbing World Championships - Innsbruck (AUT) 2018,1061,2018,Innsbruck,Boulder,Men,Semi-Final,2018-09-06,/api/v1/category_rounds/5044/results,/api/v1/events/1061/result/3,5,5,1,1,2,2,2,2,2018-09-06_Innsbruck_Boulder_Men_Semi-Final.csv
Watabe Keita,JPN,5,4T4z 11 10,IFSC Climbing World Championships - Innsbruck (AUT) 2018,1061,2018,Innsbruck,Boulder,Men,Semi-Final,2018-09-06,/api/v1/category_rounds/5044/results,/api/v1/events/1061/result/3,2,2,2,1,5,5,2,2,2018-09-06_Innsbruck_Boulder_Men_Semi-Final.csv
Phillips Nathan,GBR,6,4T4z 12 6,IFSC Climbing World Championships - Innsbruck (AUT) 2018,1061,2018,Innsbruck,Boulder,Men,Semi-Final,2018-09-06,/api/v1/category_rounds/5044/results,/api/v1/events/1061/result/3,1,1,4,1,4,3,3,1,2018-09-06_Innsbruck_Boulder_Men_Semi-Final.csv
Narasaki Tomoa,JPN,7,3T4z 3 4,IFSC Climbing World Championships - Innsbruck (AUT) 2018,1061,2018,Innsbruck,Boulder,Men,Semi-Final,2018-09-06,/api/v1/category_rounds/5044/results,/api/v1/events/1061/result/3,1,1,1,1,X,1,1,1,2018-09-06_Innsbruck_Boulder_Men_Semi-Final.csv
Kruder Jernej,SLO,8,3T4z 6 6,IFSC Climbing World Championships - Innsbruck (AUT) 2018,1061,2018,Innsbruck,Boulder,Men,Semi-Final,2018-09-06,/api/v1/category_rounds/5044/results,/api/v1/events/1061/result/3,2,1,1,1,3,3,X,1,2018-09-06_Innsbruck_Boulder_Men_Semi-Final.csv
Hojer Jan,GER,9,3T4z 7 8,IFSC Climbing World Championships - Innsbruck (AUT) 2018,1061,2018,Innsbruck,Boulder,Men,Semi-Final,2018-09-06,/api/v1/category_rounds/5044/results,/api/v1/events/1061/result/3,X,3,3,1,3,3,1,1,2018-09-06_Innsbruck_Boulder_Men_Semi-Final.csv
Schubert Jakob,AUT,10,3T4z 8 8,IFSC Climbing World Championships - Innsbruck (AUT) 2018,1061,2018,Innsbruck,Boulder,Men,Semi-Final,2018-09-06,/api/v1/category_rounds/5044/results,/api/v1/events/1061/result/3,X,1,2,2,4,4,2,1,2018-09-06_Innsbruck_Boulder_Men_Semi-Final.csv
