name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,Final_winner,Final_time,Small Final_winner,Small Final_time,source_file
Boldyrev Danyil,,1,6.08,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018 ",1054,2018,Chamonix,Speed,Men,Final,2018-07-11,/api/v1/category_rounds/4983/results,/api/v1/events/1054/result/2,True,5.99,True,5.82,True,5.81,True,6.08,,,2018-07-11_Chamonix_Speed_Men_Final.csv
Timofeev Dmitrii,,2,6.31,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018 ",1054,2018,Chamonix,Speed,Men,Final,2018-07-11,/api/v1/category_rounds/4983/results,/api/v1/events/1054/result/2,True,6.22,True,5.93,True,6.13,False,6.31,,,2018-07-11_Chamonix_Speed_Men_Final.csv
Mawem Bassa,,3,5.64,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018 ",1054,2018,Chamonix,Speed,Men,Final,2018-07-11,/api/v1/category_rounds/4983/results,/api/v1/events/1054/result/2,True,WILDCARD,True,5.63,False,5.95,,,True,5.64,2018-07-11_Chamonix_Speed_Men_Final.csv
Zhong QiXin,,4,FALL,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018 ",1054,2018,Chamonix,Speed,Men,Final,2018-07-11,/api/v1/category_rounds/4983/results,/api/v1/events/1054/result/2,True,7.31,True,WILDCARD,False,6.71,,,False,FALL,2018-07-11_Chamonix_Speed_Men_Final.csv
Shilov Aleksandr,,5,5.72,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018 ",1054,2018,Chamonix,Speed,Men,Final,2018-07-11,/api/v1/category_rounds/4983/results,/api/v1/events/1054/result/2,True,WILDCARD,False,5.72,,,,,,,2018-07-11_Chamonix_Speed_Men_Final.csv
Fossali Ludovico,,6,5.89,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018 ",1054,2018,Chamonix,Speed,Men,Final,2018-07-11,/api/v1/category_rounds/4983/results,/api/v1/events/1054/result/2,True,6.05,False,5.89,,,,,,,2018-07-11_Chamonix_Speed_Men_Final.csv
Zodda Gian Luca,,7,6.04,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018 ",1054,2018,Chamonix,Speed,Men,Final,2018-07-11,/api/v1/category_rounds/4983/results,/api/v1/events/1054/result/2,True,6.21,False,6.04,,,,,,,2018-07-11_Chamonix_Speed_Men_Final.csv
Dzienski Marcin,,8,FALSE START,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018 ",1054,2018,Chamonix,Speed,Men,Final,2018-07-11,/api/v1/category_rounds/4983/results,/api/v1/events/1054/result/2,True,6.12,False,FALSE START,,,,,,,2018-07-11_Chamonix_Speed_Men_Final.csv
Alipour Shenazandifard Reza,,9,6.46,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018 ",1054,2018,Chamonix,Speed,Men,Final,2018-07-11,/api/v1/category_rounds/4983/results,/api/v1/events/1054/result/2,False,6.46,,,,,,,,,2018-07-11_Chamonix_Speed_Men_Final.csv
Li JinXin,,10,6.73,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018 ",1054,2018,Chamonix,Speed,Men,Final,2018-07-11,/api/v1/category_rounds/4983/results,/api/v1/events/1054/result/2,False,6.73,,,,,,,,,2018-07-11_Chamonix_Speed_Men_Final.csv
Moro Guillaume,,11,7.83,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018 ",1054,2018,Chamonix,Speed,Men,Final,2018-07-11,/api/v1/category_rounds/4983/results,/api/v1/events/1054/result/2,False,7.83,,,,,,,,,2018-07-11_Chamonix_Speed_Men_Final.csv
Maimuratov Amir,,12,9.96,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018 ",1054,2018,Chamonix,Speed,Men,Final,2018-07-11,/api/v1/category_rounds/4983/results,/api/v1/events/1054/result/2,False,9.96,,,,,,,,,2018-07-11_Chamonix_Speed_Men_Final.csv
Kokorin Stanislav,,13,FALL,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018 ",1054,2018,Chamonix,Speed,Men,Final,2018-07-11,/api/v1/category_rounds/4983/results,/api/v1/events/1054/result/2,False,FALL,,,,,,,,,2018-07-11_Chamonix_Speed_Men_Final.csv
Shikov Aleksandr,,14,FALSE START,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018 ",1054,2018,Chamonix,Speed,Men,Final,2018-07-11,/api/v1/category_rounds/4983/results,/api/v1/events/1054/result/2,False,FALSE START,,,,,,,,,2018-07-11_Chamonix_Speed_Men_Final.csv
Kriz Jan,,15,FALL,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018 ",1054,2018,Chamonix,Speed,Men,Final,2018-07-11,/api/v1/category_rounds/4983/results,/api/v1/events/1054/result/2,False,FALL,,,,,,,,,2018-07-11_Chamonix_Speed_Men_Final.csv
Gontero Leonardo,,16,FALSE START,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018 ",1054,2018,Chamonix,Speed,Men,Final,2018-07-11,/api/v1/category_rounds/4983/results,/api/v1/events/1054/result/2,False,FALSE START,,,,,,,,,2018-07-11_Chamonix_Speed_Men_Final.csv
